benchmark,dimension,contexts,models,partial_eta_squared_model_after_item,bootstrap_ci_low,bootstrap_ci_high,max_minus_min_model_mean
mathtutorbench_pedagogy_hard,affective_warmth,40,6,0.06278433024431339,0.03696520381650386,0.1520817121428352,0.7000000000000002
mathtutorbench_pedagogy_hard,autonomy_support,40,6,0.065117994100295,0.03647958073061318,0.15853886840612585,0.6000000000000001
mathtutorbench_pedagogy_hard,cognitive_load,40,6,0.02977707006369425,0.008646751101321588,0.1284800438596491,0.25
mathtutorbench_pedagogy_hard,diagnostic_specificity,40,6,0.04925992779783392,0.01982846903935636,0.15160285773111754,0.6499999999999999
mathtutorbench_pedagogy_hard,elicitation,40,6,0.13757612667478686,0.08190543849753139,0.2531387573173264,1.25
mathtutorbench_pedagogy_hard,epistemic_caution,40,6,0.006944444444444457,0.0047385620915032746,0.08955391120507396,0.10000000000000009
mathtutorbench_pedagogy_hard,help_directness,40,6,0.06497277676950998,0.03485494138162679,0.15315733632089676,0.6000000000000001
mathtutorbench_pedagogy_hard,personalization,40,6,0.03131067961165056,0.011840170278637822,0.11065984216795705,0.15000000000000036
mathtutorbench_scaffolding,affective_warmth,79,6,0.308528321186549,0.25165476988144625,0.3884202136159052,1.4683544303797467
mathtutorbench_scaffolding,autonomy_support,79,6,0.3214149593977141,0.2563625504072525,0.40198594444569125,1.7721518987341771
mathtutorbench_scaffolding,cognitive_load,79,6,0.17391485984041447,0.1279772561731922,0.24382950725356548,0.6835443037974684
mathtutorbench_scaffolding,diagnostic_specificity,79,6,0.034036568213783425,0.016097645393389353,0.08746013603416394,0.44303797468354444
mathtutorbench_scaffolding,elicitation,79,6,0.31528681212155274,0.2547606203814744,0.39824414298262306,2.151898734177215
mathtutorbench_scaffolding,epistemic_caution,79,6,0.02773431944246905,0.012500278598748733,0.08198631304947436,0.2784810126582278
mathtutorbench_scaffolding,help_directness,79,6,0.28837775149124617,0.23505872214746465,0.36192490389481907,1.708860759493671
mathtutorbench_scaffolding,personalization,79,6,0.0892119665581037,0.05778151582186459,0.1475950874217118,0.3670886075949369
mathtutorbench_scaffolding_hard,affective_warmth,40,6,0.30367534456355283,0.23796349796225647,0.41524849559424026,1.5500000000000003
mathtutorbench_scaffolding_hard,autonomy_support,40,6,0.27616959064327495,0.1951873172672233,0.3964222419872998,1.5750000000000002
mathtutorbench_scaffolding_hard,cognitive_load,40,6,0.18359375000000003,0.1011525658609063,0.31754902824933773,0.8500000000000001
mathtutorbench_scaffolding_hard,diagnostic_specificity,40,6,0.09956026058631924,0.046880431183722565,0.20994452594490715,0.9250000000000003
mathtutorbench_scaffolding_hard,elicitation,40,6,0.31514553014553015,0.2321415871388168,0.43875082884936334,2.2
mathtutorbench_scaffolding_hard,epistemic_caution,40,6,0.0070197044334975225,0.0043103448275862224,0.08751588983050838,0.09999999999999987
mathtutorbench_scaffolding_hard,help_directness,40,6,0.24693593314763218,0.15511576995703524,0.3749235022866099,1.5249999999999995
mathtutorbench_scaffolding_hard,personalization,40,6,0.0705156950672646,0.030555555555555603,0.15600136683155427,0.3250000000000002
mathtutorbench_socratic,affective_warmth,80,6,,,,0.0
mathtutorbench_socratic,autonomy_support,80,6,0.06673728813559325,0.03777031362797786,0.12340456185567017,0.23750000000000004
mathtutorbench_socratic,cognitive_load,80,6,0.14673976608187145,0.09346257876934486,0.2299437233237195,0.6125000000000003
mathtutorbench_socratic,diagnostic_specificity,80,6,,,,0.0
mathtutorbench_socratic,elicitation,80,6,0.015625000000000437,0.01250000000000035,0.04999999999999966,0.025000000000000355
mathtutorbench_socratic,epistemic_caution,80,6,0.01249999999999992,0.012499999999999912,0.05000000000000007,0.012499999999999956
mathtutorbench_socratic,help_directness,80,6,0.02644389438943895,0.01382346004439515,0.07275478571488925,0.13750000000000018
mathtutorbench_socratic,personalization,80,6,0.02075471698113208,0.009884865058270308,0.06293811576354671,0.07499999999999996
