judge,dimension,candidate_position,mean_residual,ratings
deepseek-v4-pro,affective_warmth,6,0.2681564245810056,358
deepseek-v4-pro,autonomy_support,1,-0.63268156424581,358
deepseek-v4-pro,autonomy_support,2,-0.6075418994413407,358
deepseek-v4-pro,autonomy_support,3,-0.5167597765363129,358
deepseek-v4-pro,autonomy_support,4,-0.5181564245810056,358
deepseek-v4-pro,autonomy_support,5,-0.6075418994413407,358
deepseek-v4-pro,autonomy_support,6,-0.5432960893854749,358
deepseek-v4-pro,cognitive_load,1,-0.2206703910614525,358
deepseek-v4-pro,cognitive_load,2,-0.26256983240223464,358
deepseek-v4-pro,cognitive_load,3,-0.3058659217877095,358
deepseek-v4-pro,cognitive_load,4,-0.19832402234636873,358
deepseek-v4-pro,cognitive_load,5,-0.2905027932960894,358
deepseek-v4-pro,cognitive_load,6,-0.25,358
deepseek-v4-pro,diagnostic_specificity,1,-0.034916201117318434,358
deepseek-v4-pro,diagnostic_specificity,2,-0.09078212290502793,358
deepseek-v4-pro,diagnostic_specificity,3,-0.05027932960893855,358
deepseek-v4-pro,diagnostic_specificity,4,0.0013966480446927375,358
deepseek-v4-pro,diagnostic_specificity,5,-0.006983240223463687,358
deepseek-v4-pro,diagnostic_specificity,6,0.029329608938547486,358
deepseek-v4-pro,elicitation,1,0.040502793296089384,358
deepseek-v4-pro,elicitation,2,0.06284916201117319,358
deepseek-v4-pro,elicitation,3,0.07541899441340782,358
deepseek-v4-pro,elicitation,4,0.018156424581005588,358
deepseek-v4-pro,elicitation,5,0.012569832402234637,358
deepseek-v4-pro,elicitation,6,0.02094972067039106,358
deepseek-v4-pro,epistemic_caution,1,-0.24860335195530725,358
deepseek-v4-pro,epistemic_caution,2,-0.2611731843575419,358
deepseek-v4-pro,epistemic_caution,3,-0.25558659217877094,358
deepseek-v4-pro,epistemic_caution,4,-0.23743016759776536,358
deepseek-v4-pro,epistemic_caution,5,-0.19832402234636873,358
deepseek-v4-pro,epistemic_caution,6,-0.21927374301675978,358
deepseek-v4-pro,help_directness,1,-0.05865921787709497,358
deepseek-v4-pro,help_directness,2,-0.10474860335195531,358
deepseek-v4-pro,help_directness,3,-0.13128491620111732,358
deepseek-v4-pro,help_directness,4,-0.1270949720670391,358
deepseek-v4-pro,help_directness,5,-0.08519553072625698,358
deepseek-v4-pro,help_directness,6,-0.09497206703910614,358
deepseek-v4-pro,personalization,1,-0.0446927374301676,358
deepseek-v4-pro,personalization,2,-0.05726256983240224,358
deepseek-v4-pro,personalization,3,-0.10754189944134078,358
deepseek-v4-pro,personalization,4,-0.07681564245810056,358
deepseek-v4-pro,personalization,5,-0.05027932960893855,358
deepseek-v4-pro,personalization,6,-0.05446927374301676,358
glm-5.2,affective_warmth,1,-0.025139664804469275,358
glm-5.2,affective_warmth,2,-0.029329608938547486,358
glm-5.2,affective_warmth,3,-0.0013966480446927375,358
glm-5.2,affective_warmth,4,-0.006983240223463687,358
glm-5.2,affective_warmth,5,0.002793296089385475,358
glm-5.2,affective_warmth,6,-0.009776536312849162,358
glm-5.2,autonomy_support,1,0.05726256983240224,358
glm-5.2,autonomy_support,2,0.08519553072625698,358
glm-5.2,autonomy_support,3,0.046089385474860335,358
glm-5.2,autonomy_support,4,0.08100558659217877,358
glm-5.2,autonomy_support,5,0.05027932960893855,358
glm-5.2,autonomy_support,6,0.08379888268156424,358
glm-5.2,cognitive_load,1,0.013966480446927373,358
glm-5.2,cognitive_load,2,0.10474860335195531,358
glm-5.2,cognitive_load,3,0.11312849162011174,358
glm-5.2,cognitive_load,4,0.12290502793296089,358
glm-5.2,cognitive_load,5,0.11592178770949721,358
glm-5.2,cognitive_load,6,0.1340782122905028,358
glm-5.2,diagnostic_specificity,1,0.17737430167597765,358
glm-5.2,diagnostic_specificity,2,0.10474860335195531,358
glm-5.2,diagnostic_specificity,3,0.18016759776536312,358
glm-5.2,diagnostic_specificity,4,0.19832402234636873,358
glm-5.2,diagnostic_specificity,5,0.16899441340782123,358
glm-5.2,diagnostic_specificity,6,0.16620111731843576,358
glm-5.2,elicitation,1,-0.06424581005586592,358
glm-5.2,elicitation,2,-0.1005586592178771,358
glm-5.2,elicitation,3,-0.05027932960893855,358
glm-5.2,elicitation,4,-0.03770949720670391,358
glm-5.2,elicitation,5,-0.0824022346368715,358
glm-5.2,elicitation,6,-0.029329608938547486,358
glm-5.2,epistemic_caution,1,0.22346368715083798,358
glm-5.2,epistemic_caution,2,0.2527932960893855,358
glm-5.2,epistemic_caution,3,0.2946927374301676,358
glm-5.2,epistemic_caution,4,0.2206703910614525,358
glm-5.2,epistemic_caution,5,0.31145251396648044,358
glm-5.2,epistemic_caution,6,0.24720670391061453,358
glm-5.2,help_directness,1,-0.018156424581005588,358
glm-5.2,help_directness,2,-0.034916201117318434,358
glm-5.2,help_directness,3,-0.00558659217877095,358
glm-5.2,help_directness,4,-0.019553072625698324,358
glm-5.2,help_directness,5,0.012569832402234637,358
glm-5.2,help_directness,6,0.046089385474860335,358
glm-5.2,personalization,1,0.15083798882681565,358
glm-5.2,personalization,2,0.14106145251396648,358
glm-5.2,personalization,3,0.08519553072625698,358
glm-5.2,personalization,4,0.0782122905027933,358
glm-5.2,personalization,5,0.11871508379888268,358
glm-5.2,personalization,6,0.12011173184357542,358
