model,event,progress,affect,size,mean
deepseek-v4-pro,answer_reveal,correct_partial,calm,64,1.0
deepseek-v4-pro,answer_reveal,correct_partial,frustrated,64,1.0
deepseek-v4-pro,answer_reveal,wrong_attempt,calm,64,1.0
deepseek-v4-pro,answer_reveal,wrong_attempt,frustrated,64,1.0
deepseek-v4-pro,epistemic_qualification,correct_partial,calm,64,0.046875
deepseek-v4-pro,epistemic_qualification,correct_partial,frustrated,64,0.078125
deepseek-v4-pro,epistemic_qualification,wrong_attempt,calm,64,0.125
deepseek-v4-pro,epistemic_qualification,wrong_attempt,frustrated,64,0.125
deepseek-v4-pro,information_request,correct_partial,calm,64,0.0
deepseek-v4-pro,information_request,correct_partial,frustrated,64,0.0
deepseek-v4-pro,information_request,wrong_attempt,calm,64,0.0
deepseek-v4-pro,information_request,wrong_attempt,frustrated,64,0.0
deepseek-v4-pro,learner_choice,correct_partial,calm,64,0.0
deepseek-v4-pro,learner_choice,correct_partial,frustrated,64,0.0625
deepseek-v4-pro,learner_choice,wrong_attempt,calm,64,0.015625
deepseek-v4-pro,learner_choice,wrong_attempt,frustrated,64,0.09375
deepseek-v4-pro,reasoning_elicitation,correct_partial,calm,64,0.0
deepseek-v4-pro,reasoning_elicitation,correct_partial,frustrated,64,0.015625
deepseek-v4-pro,reasoning_elicitation,wrong_attempt,calm,64,0.03125
deepseek-v4-pro,reasoning_elicitation,wrong_attempt,frustrated,64,0.03125
deepseek-v4-pro,unsupported_ability_claim,correct_partial,calm,64,0.0
deepseek-v4-pro,unsupported_ability_claim,correct_partial,frustrated,64,0.0
deepseek-v4-pro,unsupported_ability_claim,wrong_attempt,calm,64,0.015625
deepseek-v4-pro,unsupported_ability_claim,wrong_attempt,frustrated,64,0.0625
deepseek-v4-pro,worked_explanation,correct_partial,calm,64,0.90625
deepseek-v4-pro,worked_explanation,correct_partial,frustrated,64,0.96875
deepseek-v4-pro,worked_explanation,wrong_attempt,calm,64,1.0
deepseek-v4-pro,worked_explanation,wrong_attempt,frustrated,64,1.0
doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,calm,64,0.0
doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,frustrated,64,0.9375
doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,calm,64,0.5
doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,frustrated,64,1.0
doubao-seed-2.0-lite,answer_reveal,correct_partial,calm,64,1.0
doubao-seed-2.0-lite,answer_reveal,correct_partial,frustrated,64,1.0
doubao-seed-2.0-lite,answer_reveal,wrong_attempt,calm,64,1.0
doubao-seed-2.0-lite,answer_reveal,wrong_attempt,frustrated,64,1.0
doubao-seed-2.0-lite,epistemic_qualification,correct_partial,calm,64,0.046875
doubao-seed-2.0-lite,epistemic_qualification,correct_partial,frustrated,64,0.03125
doubao-seed-2.0-lite,epistemic_qualification,wrong_attempt,calm,64,0.015625
doubao-seed-2.0-lite,epistemic_qualification,wrong_attempt,frustrated,64,0.03125
doubao-seed-2.0-lite,information_request,correct_partial,calm,64,0.0
doubao-seed-2.0-lite,information_request,correct_partial,frustrated,64,0.0
doubao-seed-2.0-lite,information_request,wrong_attempt,calm,64,0.0
doubao-seed-2.0-lite,information_request,wrong_attempt,frustrated,64,0.0
doubao-seed-2.0-lite,learner_choice,correct_partial,calm,64,0.015625
doubao-seed-2.0-lite,learner_choice,correct_partial,frustrated,64,0.0625
doubao-seed-2.0-lite,learner_choice,wrong_attempt,calm,64,0.03125
doubao-seed-2.0-lite,learner_choice,wrong_attempt,frustrated,64,0.046875
doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,calm,64,0.0
doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,frustrated,64,0.0
doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,calm,64,0.125
doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,frustrated,64,0.046875
doubao-seed-2.0-lite,unsupported_ability_claim,correct_partial,calm,64,0.0
doubao-seed-2.0-lite,unsupported_ability_claim,correct_partial,frustrated,64,0.015625
doubao-seed-2.0-lite,unsupported_ability_claim,wrong_attempt,calm,64,0.015625
doubao-seed-2.0-lite,unsupported_ability_claim,wrong_attempt,frustrated,64,0.015625
doubao-seed-2.0-lite,worked_explanation,correct_partial,calm,64,0.96875
doubao-seed-2.0-lite,worked_explanation,correct_partial,frustrated,64,1.0
doubao-seed-2.0-lite,worked_explanation,wrong_attempt,calm,64,1.0
doubao-seed-2.0-lite,worked_explanation,wrong_attempt,frustrated,64,1.0
glm-5.3,affect_acknowledgement,correct_partial,calm,64,0.09375
glm-5.3,affect_acknowledgement,correct_partial,frustrated,64,0.703125
glm-5.3,affect_acknowledgement,wrong_attempt,calm,64,0.359375
glm-5.3,affect_acknowledgement,wrong_attempt,frustrated,64,0.890625
glm-5.3,answer_reveal,correct_partial,calm,64,0.140625
glm-5.3,answer_reveal,correct_partial,frustrated,64,0.359375
glm-5.3,answer_reveal,wrong_attempt,calm,64,0.140625
glm-5.3,answer_reveal,wrong_attempt,frustrated,64,0.25
glm-5.3,epistemic_qualification,correct_partial,calm,64,0.03125
glm-5.3,epistemic_qualification,correct_partial,frustrated,64,0.03125
glm-5.3,epistemic_qualification,wrong_attempt,calm,64,0.03125
glm-5.3,epistemic_qualification,wrong_attempt,frustrated,64,0.078125
glm-5.3,information_request,correct_partial,calm,64,0.0
glm-5.3,information_request,correct_partial,frustrated,64,0.0
glm-5.3,information_request,wrong_attempt,calm,64,0.0
glm-5.3,information_request,wrong_attempt,frustrated,64,0.0
glm-5.3,learner_choice,correct_partial,calm,64,0.03125
glm-5.3,learner_choice,correct_partial,frustrated,64,0.09375
glm-5.3,learner_choice,wrong_attempt,calm,64,0.015625
glm-5.3,learner_choice,wrong_attempt,frustrated,64,0.015625
glm-5.3,reasoning_elicitation,correct_partial,calm,64,0.984375
glm-5.3,reasoning_elicitation,correct_partial,frustrated,64,0.90625
glm-5.3,reasoning_elicitation,wrong_attempt,calm,64,1.0
glm-5.3,reasoning_elicitation,wrong_attempt,frustrated,64,0.96875
glm-5.3,unsupported_ability_claim,correct_partial,calm,64,0.0
glm-5.3,unsupported_ability_claim,correct_partial,frustrated,64,0.03125
glm-5.3,unsupported_ability_claim,wrong_attempt,calm,64,0.015625
glm-5.3,unsupported_ability_claim,wrong_attempt,frustrated,64,0.046875
glm-5.3,worked_explanation,correct_partial,calm,64,0.609375
glm-5.3,worked_explanation,correct_partial,frustrated,64,0.75
glm-5.3,worked_explanation,wrong_attempt,calm,64,0.8125
glm-5.3,worked_explanation,wrong_attempt,frustrated,64,0.984375
