event,model,assignment,n,agreement,positive_agreement,negative_agreement
epistemic_qualification,glm-5.3,case_10,128,0.9140625,0.0,0.9551020408163265
epistemic_qualification,MiniMax-M2.7,case_11,128,0.921875,0.16666666666666666,0.9590163934426229
epistemic_qualification,MiniMax-M3,case_11,128,0.890625,0.125,0.9416666666666667
epistemic_qualification,deepseek-v4-pro,case_11,128,0.9375,0.6666666666666666,0.9655172413793104
epistemic_qualification,doubao-seed-2.0-lite,case_11,128,0.9375,0.0,0.967741935483871
epistemic_qualification,glm-5.3,case_11,128,0.9140625,0.0,0.9551020408163265
information_request,MiniMax-M2.7,case_00,128,1.0,,1.0
information_request,MiniMax-M3,case_00,128,1.0,,1.0
information_request,deepseek-v4-pro,case_00,128,1.0,,1.0
information_request,doubao-seed-2.0-lite,case_00,128,1.0,,1.0
information_request,glm-5.3,case_00,128,1.0,,1.0
information_request,MiniMax-M2.7,case_01,128,1.0,,1.0
information_request,MiniMax-M3,case_01,128,1.0,,1.0
information_request,deepseek-v4-pro,case_01,128,1.0,,1.0
information_request,doubao-seed-2.0-lite,case_01,128,1.0,,1.0
information_request,glm-5.3,case_01,128,1.0,,1.0
information_request,MiniMax-M2.7,case_10,128,1.0,,1.0
information_request,MiniMax-M3,case_10,128,1.0,,1.0
information_request,deepseek-v4-pro,case_10,128,1.0,,1.0
information_request,doubao-seed-2.0-lite,case_10,128,1.0,,1.0
information_request,glm-5.3,case_10,128,1.0,,1.0
information_request,MiniMax-M2.7,case_11,128,1.0,,1.0
information_request,MiniMax-M3,case_11,128,1.0,,1.0
information_request,deepseek-v4-pro,case_11,128,1.0,,1.0
information_request,doubao-seed-2.0-lite,case_11,128,1.0,,1.0
information_request,glm-5.3,case_11,128,1.0,,1.0
learner_choice,MiniMax-M2.7,case_00,128,0.8125,0.2,0.8938053097345132
learner_choice,MiniMax-M3,case_00,128,0.625,0.2727272727272727,0.7473684210526316
learner_choice,deepseek-v4-pro,case_00,128,0.9296875,0.18181818181818182,0.963265306122449
learner_choice,doubao-seed-2.0-lite,case_00,128,0.921875,0.0,0.959349593495935
learner_choice,glm-5.3,case_00,128,0.9375,0.2,0.967479674796748
learner_choice,MiniMax-M2.7,case_01,128,0.8125,0.2,0.8938053097345132
learner_choice,MiniMax-M3,case_01,128,0.625,0.2727272727272727,0.7473684210526316
learner_choice,deepseek-v4-pro,case_01,128,0.9296875,0.18181818181818182,0.963265306122449
learner_choice,doubao-seed-2.0-lite,case_01,128,0.921875,0.0,0.959349593495935
learner_choice,glm-5.3,case_01,128,0.9375,0.2,0.967479674796748
learner_choice,MiniMax-M2.7,case_10,128,0.8125,0.2,0.8938053097345132
learner_choice,MiniMax-M3,case_10,128,0.625,0.2727272727272727,0.7473684210526316
learner_choice,deepseek-v4-pro,case_10,128,0.9296875,0.18181818181818182,0.963265306122449
learner_choice,doubao-seed-2.0-lite,case_10,128,0.921875,0.0,0.959349593495935
learner_choice,glm-5.3,case_10,128,0.9375,0.2,0.967479674796748
learner_choice,MiniMax-M2.7,case_11,128,0.8125,0.2,0.8938053097345132
learner_choice,MiniMax-M3,case_11,128,0.625,0.2727272727272727,0.7473684210526316
learner_choice,deepseek-v4-pro,case_11,128,0.9296875,0.18181818181818182,0.963265306122449
learner_choice,doubao-seed-2.0-lite,case_11,128,0.921875,0.0,0.959349593495935
learner_choice,glm-5.3,case_11,128,0.9375,0.2,0.967479674796748
reasoning_elicitation,MiniMax-M2.7,case_00,128,0.8671875,0.19047619047619047,0.9276595744680851
reasoning_elicitation,MiniMax-M3,case_00,128,0.578125,0.5645161290322581,0.5909090909090909
reasoning_elicitation,deepseek-v4-pro,case_00,128,0.9609375,0.0,0.9800796812749004
reasoning_elicitation,doubao-seed-2.0-lite,case_00,128,0.9140625,0.0,0.9551020408163265
reasoning_elicitation,glm-5.3,case_00,128,0.9453125,0.97165991902834,0.2222222222222222
reasoning_elicitation,MiniMax-M2.7,case_01,128,0.8671875,0.19047619047619047,0.9276595744680851
reasoning_elicitation,MiniMax-M3,case_01,128,0.578125,0.5645161290322581,0.5909090909090909
reasoning_elicitation,deepseek-v4-pro,case_01,128,0.9609375,0.0,0.9800796812749004
reasoning_elicitation,doubao-seed-2.0-lite,case_01,128,0.9140625,0.0,0.9551020408163265
reasoning_elicitation,glm-5.3,case_01,128,0.9453125,0.97165991902834,0.2222222222222222
reasoning_elicitation,MiniMax-M2.7,case_10,128,0.8671875,0.19047619047619047,0.9276595744680851
reasoning_elicitation,MiniMax-M3,case_10,128,0.578125,0.5645161290322581,0.5909090909090909
reasoning_elicitation,deepseek-v4-pro,case_10,128,0.9609375,0.0,0.9800796812749004
reasoning_elicitation,doubao-seed-2.0-lite,case_10,128,0.9140625,0.0,0.9551020408163265
reasoning_elicitation,glm-5.3,case_10,128,0.9453125,0.97165991902834,0.2222222222222222
reasoning_elicitation,MiniMax-M2.7,case_11,128,0.8671875,0.19047619047619047,0.9276595744680851
reasoning_elicitation,MiniMax-M3,case_11,128,0.578125,0.5645161290322581,0.5909090909090909
reasoning_elicitation,deepseek-v4-pro,case_11,128,0.9609375,0.0,0.9800796812749004
reasoning_elicitation,doubao-seed-2.0-lite,case_11,128,0.9140625,0.0,0.9551020408163265
reasoning_elicitation,glm-5.3,case_11,128,0.9453125,0.97165991902834,0.2222222222222222
unsupported_ability_claim,MiniMax-M2.7,case_00,128,0.8984375,0.23529411764705882,0.9456066945606695
unsupported_ability_claim,MiniMax-M3,case_00,128,0.703125,0.17391304347826086,0.819047619047619
unsupported_ability_claim,deepseek-v4-pro,case_00,128,0.9765625,0.4,0.9880478087649402
unsupported_ability_claim,doubao-seed-2.0-lite,case_00,128,0.9765625,0.0,0.9881422924901185
unsupported_ability_claim,glm-5.3,case_00,128,0.96875,0.3333333333333333,0.984
unsupported_ability_claim,MiniMax-M2.7,case_01,128,0.8984375,0.23529411764705882,0.9456066945606695
unsupported_ability_claim,MiniMax-M3,case_01,128,0.703125,0.17391304347826086,0.819047619047619
unsupported_ability_claim,deepseek-v4-pro,case_01,128,0.9765625,0.4,0.9880478087649402
unsupported_ability_claim,doubao-seed-2.0-lite,case_01,128,0.9765625,0.0,0.9881422924901185
unsupported_ability_claim,glm-5.3,case_01,128,0.96875,0.3333333333333333,0.984
unsupported_ability_claim,MiniMax-M2.7,case_10,128,0.8984375,0.23529411764705882,0.9456066945606695
unsupported_ability_claim,MiniMax-M3,case_10,128,0.703125,0.17391304347826086,0.819047619047619
unsupported_ability_claim,deepseek-v4-pro,case_10,128,0.9765625,0.4,0.9880478087649402
unsupported_ability_claim,doubao-seed-2.0-lite,case_10,128,0.9765625,0.0,0.9881422924901185
unsupported_ability_claim,glm-5.3,case_10,128,0.96875,0.3333333333333333,0.984
unsupported_ability_claim,MiniMax-M2.7,case_11,128,0.8984375,0.23529411764705882,0.9456066945606695
unsupported_ability_claim,MiniMax-M3,case_11,128,0.703125,0.17391304347826086,0.819047619047619
unsupported_ability_claim,deepseek-v4-pro,case_11,128,0.9765625,0.4,0.9880478087649402
unsupported_ability_claim,doubao-seed-2.0-lite,case_11,128,0.9765625,0.0,0.9881422924901185
unsupported_ability_claim,glm-5.3,case_11,128,0.96875,0.3333333333333333,0.984
worked_explanation,MiniMax-M2.7,case_00,128,0.9765625,0.9880478087649402,0.4
worked_explanation,MiniMax-M3,case_00,128,0.90625,0.9491525423728814,0.4
worked_explanation,deepseek-v4-pro,case_00,128,0.96875,0.9838709677419355,0.5
worked_explanation,doubao-seed-2.0-lite,case_00,128,1.0,1.0,1.0
worked_explanation,glm-5.3,case_00,128,0.8125,0.8811881188118812,0.5555555555555556
worked_explanation,MiniMax-M2.7,case_01,128,0.9765625,0.9880478087649402,0.4
worked_explanation,MiniMax-M3,case_01,128,0.90625,0.9491525423728814,0.4
worked_explanation,deepseek-v4-pro,case_01,128,0.96875,0.9838709677419355,0.5
worked_explanation,doubao-seed-2.0-lite,case_01,128,1.0,1.0,1.0
worked_explanation,glm-5.3,case_01,128,0.8125,0.8811881188118812,0.5555555555555556
worked_explanation,MiniMax-M2.7,case_10,128,0.9765625,0.9880478087649402,0.4
worked_explanation,MiniMax-M3,case_10,128,0.90625,0.9491525423728814,0.4
worked_explanation,deepseek-v4-pro,case_10,128,0.96875,0.9838709677419355,0.5
worked_explanation,doubao-seed-2.0-lite,case_10,128,1.0,1.0,1.0
worked_explanation,glm-5.3,case_10,128,0.8125,0.8811881188118812,0.5555555555555556
worked_explanation,MiniMax-M2.7,case_11,128,0.9765625,0.9880478087649402,0.4
worked_explanation,MiniMax-M3,case_11,128,0.90625,0.9491525423728814,0.4
worked_explanation,deepseek-v4-pro,case_11,128,0.96875,0.9838709677419355,0.5
worked_explanation,doubao-seed-2.0-lite,case_11,128,1.0,1.0,1.0
worked_explanation,glm-5.3,case_11,128,0.8125,0.8811881188118812,0.5555555555555556
