classifier_variant,sample_id,context_id,target_act,arm,model,predicted_act,act_match,response_sha256
hybrid_svm,routing-v1|scaffolding-11|oracle_action,scaffolding-11,telling,oracle_action,deepseek-v4-pro,telling,1,be0dcd7510edf92ba249e59cb3952d721d237b45cfed8699c37e0493c8b891de
char_svm,routing-v1|scaffolding-11|oracle_action,scaffolding-11,telling,oracle_action,doubao-seed-2.0-lite,telling,1,e84ed28bd1f66754b6608d27154454a051e2c24d8e4bdd1fb1758c185788bf0a
word_svm,routing-v1|scaffolding-11|oracle_action,scaffolding-11,telling,oracle_action,doubao-seed-2.0-lite,telling,1,e84ed28bd1f66754b6608d27154454a051e2c24d8e4bdd1fb1758c185788bf0a
hybrid_svm,routing-v1|scaffolding-11|oracle_action,scaffolding-11,telling,oracle_action,doubao-seed-2.0-lite,telling,1,e84ed28bd1f66754b6608d27154454a051e2c24d8e4bdd1fb1758c185788bf0a
char_svm,routing-v1|scaffolding-11|oracle_action,scaffolding-11,telling,oracle_action,glm-5.2,telling,1,18f7dae2c115728c703ad326031a341329daa5d1e1702814c14ca9c16621d252
word_svm,routing-v1|scaffolding-11|oracle_action,scaffolding-11,telling,oracle_action,glm-5.2,focus,0,18f7dae2c115728c703ad326031a341329daa5d1e1702814c14ca9c16621d252
hybrid_svm,routing-v1|scaffolding-11|oracle_action,scaffolding-11,telling,oracle_action,glm-5.2,focus,0,18f7dae2c115728c703ad326031a341329daa5d1e1702814c14ca9c16621d252
char_svm,routing-v1|scaffolding-11|uniform_scaffold,scaffolding-11,telling,uniform_scaffold,MiniMax-M2.7,probing,0,d9cd6ed4c83df099251b2c8f9cd34700c97c969dbf8ab404866cdb2a0b2dcb9b
word_svm,routing-v1|scaffolding-11|uniform_scaffold,scaffolding-11,telling,uniform_scaffold,MiniMax-M2.7,focus,0,d9cd6ed4c83df099251b2c8f9cd34700c97c969dbf8ab404866cdb2a0b2dcb9b
hybrid_svm,routing-v1|scaffolding-11|uniform_scaffold,scaffolding-11,telling,uniform_scaffold,MiniMax-M2.7,probing,0,d9cd6ed4c83df099251b2c8f9cd34700c97c969dbf8ab404866cdb2a0b2dcb9b
char_svm,routing-v1|scaffolding-11|uniform_scaffold,scaffolding-11,telling,uniform_scaffold,MiniMax-M3,probing,0,5daa09c9dc1d26d17eadddf0b0f02385fd2dc42fb45843339cf494a586b2da23
word_svm,routing-v1|scaffolding-11|uniform_scaffold,scaffolding-11,telling,uniform_scaffold,MiniMax-M3,telling,1,5daa09c9dc1d26d17eadddf0b0f02385fd2dc42fb45843339cf494a586b2da23
hybrid_svm,routing-v1|scaffolding-11|uniform_scaffold,scaffolding-11,telling,uniform_scaffold,MiniMax-M3,probing,0,5daa09c9dc1d26d17eadddf0b0f02385fd2dc42fb45843339cf494a586b2da23
char_svm,routing-v1|scaffolding-11|uniform_scaffold,scaffolding-11,telling,uniform_scaffold,deepseek-v4-pro,telling,1,f6142e13c63040d3937c95899d0e77b8e1d7466abd4a5f53da243b538667f1a7
word_svm,routing-v1|scaffolding-11|uniform_scaffold,scaffolding-11,telling,uniform_scaffold,deepseek-v4-pro,probing,0,f6142e13c63040d3937c95899d0e77b8e1d7466abd4a5f53da243b538667f1a7
hybrid_svm,routing-v1|scaffolding-11|uniform_scaffold,scaffolding-11,telling,uniform_scaffold,deepseek-v4-pro,probing,0,f6142e13c63040d3937c95899d0e77b8e1d7466abd4a5f53da243b538667f1a7
char_svm,routing-v1|scaffolding-11|uniform_scaffold,scaffolding-11,telling,uniform_scaffold,doubao-seed-2.0-lite,probing,0,edc856e8a9600d8b7d645b6f06b0ab0a0bf780eda8f8f6509590767a5ef967de
word_svm,routing-v1|scaffolding-11|uniform_scaffold,scaffolding-11,telling,uniform_scaffold,doubao-seed-2.0-lite,probing,0,edc856e8a9600d8b7d645b6f06b0ab0a0bf780eda8f8f6509590767a5ef967de
hybrid_svm,routing-v1|scaffolding-11|uniform_scaffold,scaffolding-11,telling,uniform_scaffold,doubao-seed-2.0-lite,probing,0,edc856e8a9600d8b7d645b6f06b0ab0a0bf780eda8f8f6509590767a5ef967de
char_svm,routing-v1|scaffolding-11|uniform_scaffold,scaffolding-11,telling,uniform_scaffold,glm-5.2,probing,0,bed1c61fb4df96212a34d2c10433484d513e7bb3229a38b735ff8468ea2aa899
word_svm,routing-v1|scaffolding-11|uniform_scaffold,scaffolding-11,telling,uniform_scaffold,glm-5.2,focus,0,bed1c61fb4df96212a34d2c10433484d513e7bb3229a38b735ff8468ea2aa899
hybrid_svm,routing-v1|scaffolding-11|uniform_scaffold,scaffolding-11,telling,uniform_scaffold,glm-5.2,probing,0,bed1c61fb4df96212a34d2c10433484d513e7bb3229a38b735ff8468ea2aa899
char_svm,routing-v1|scaffolding-121|adaptive_router,scaffolding-121,probing,adaptive_router,MiniMax-M2.7,probing,1,6ca06ebbf15fcd138c6041f53015e776afc3d968bb179070e79db2ab9e398640
word_svm,routing-v1|scaffolding-121|adaptive_router,scaffolding-121,probing,adaptive_router,MiniMax-M2.7,focus,0,6ca06ebbf15fcd138c6041f53015e776afc3d968bb179070e79db2ab9e398640
hybrid_svm,routing-v1|scaffolding-121|adaptive_router,scaffolding-121,probing,adaptive_router,MiniMax-M2.7,probing,1,6ca06ebbf15fcd138c6041f53015e776afc3d968bb179070e79db2ab9e398640
char_svm,routing-v1|scaffolding-121|adaptive_router,scaffolding-121,probing,adaptive_router,MiniMax-M3,telling,0,eb6b2edf59d63b365bee4a6e117b7f60f3f20ba2a626feadaaba3f19ecca0e37
word_svm,routing-v1|scaffolding-121|adaptive_router,scaffolding-121,probing,adaptive_router,MiniMax-M3,probing,1,eb6b2edf59d63b365bee4a6e117b7f60f3f20ba2a626feadaaba3f19ecca0e37
hybrid_svm,routing-v1|scaffolding-121|adaptive_router,scaffolding-121,probing,adaptive_router,MiniMax-M3,probing,1,eb6b2edf59d63b365bee4a6e117b7f60f3f20ba2a626feadaaba3f19ecca0e37
char_svm,routing-v1|scaffolding-121|adaptive_router,scaffolding-121,probing,adaptive_router,deepseek-v4-pro,focus,0,f54102b651e0bf9f0497526f11a0c0be11c931ec56e0c49ef4c71a66a09f7331
word_svm,routing-v1|scaffolding-121|adaptive_router,scaffolding-121,probing,adaptive_router,deepseek-v4-pro,probing,1,f54102b651e0bf9f0497526f11a0c0be11c931ec56e0c49ef4c71a66a09f7331
hybrid_svm,routing-v1|scaffolding-121|adaptive_router,scaffolding-121,probing,adaptive_router,deepseek-v4-pro,probing,1,f54102b651e0bf9f0497526f11a0c0be11c931ec56e0c49ef4c71a66a09f7331
char_svm,routing-v1|scaffolding-121|adaptive_router,scaffolding-121,probing,adaptive_router,doubao-seed-2.0-lite,focus,0,95eec635ed226608aa7ad1645223abeedfe22adb9bf00b5954c1087f74478ecb
word_svm,routing-v1|scaffolding-121|adaptive_router,scaffolding-121,probing,adaptive_router,doubao-seed-2.0-lite,focus,0,95eec635ed226608aa7ad1645223abeedfe22adb9bf00b5954c1087f74478ecb
hybrid_svm,routing-v1|scaffolding-121|adaptive_router,scaffolding-121,probing,adaptive_router,doubao-seed-2.0-lite,focus,0,95eec635ed226608aa7ad1645223abeedfe22adb9bf00b5954c1087f74478ecb
char_svm,routing-v1|scaffolding-121|adaptive_router,scaffolding-121,probing,adaptive_router,glm-5.2,probing,1,51f2cdd7886cee745879090230b6051cce499884a900b090af472b42364bbba5
word_svm,routing-v1|scaffolding-121|adaptive_router,scaffolding-121,probing,adaptive_router,glm-5.2,probing,1,51f2cdd7886cee745879090230b6051cce499884a900b090af472b42364bbba5
hybrid_svm,routing-v1|scaffolding-121|adaptive_router,scaffolding-121,probing,adaptive_router,glm-5.2,probing,1,51f2cdd7886cee745879090230b6051cce499884a900b090af472b42364bbba5
