benchmark,domain,condition,model,communal_expression,dialogic_engagement,directive_expression,epistemic_caution_language,boundary_refusal_expression,organizational_style,verbosity
mathtutorbench_scaffolding,default_tutoring,default_tutoring,deepseek-v4-pro,-0.06395285431198858,0.20640520483616132,-0.16009544631981634,0.12184136368443713,0.003600247385852734,-0.006057261317860767,-0.4907432271602949
mathtutorbench_scaffolding,default_tutoring,default_tutoring,doubao-seed-2.0-pro,0.08799316280007222,-0.038290515884118644,-0.05826114164153324,-0.03468769005735062,-0.03391620631635919,-0.006057261317860767,0.9510058065659022
mathtutorbench_scaffolding,default_tutoring,default_tutoring,glm-5.2,0.015066917150771068,0.29961175762973963,-0.016494591076104504,0.02139882379032805,0.012906613031239753,-0.006057261317860767,0.16805267546159006
mathtutorbench_scaffolding,default_tutoring,default_tutoring,minimax-m2.7,-0.1813861414003847,-0.2892907023563925,-0.008662074203080372,-0.0002546690709775354,-0.028152918073547157,0.018739599960479872,-0.3063468529371324
mathtutorbench_scaffolding,default_tutoring,default_tutoring,minimax-m3,-0.007497012595711998,-0.15939543774258955,0.025647876410001224,-0.008539347387674364,0.057378209619837535,-0.006057261317860767,-0.053167318400931515
mathtutorbench_scaffolding,default_tutoring,default_tutoring,qwen3.5-4b,0.1497759283572419,-0.019040306482800362,0.21786537683053328,-0.09975848095876266,-0.011815945647023665,0.005489445310963199,-0.26880108352913323
mathtutorbench_scaffolding_hard,default_tutoring,default_tutoring,deepseek-v4-pro,-0.07901114140095827,0.10811533266434438,-0.11490829977197518,0.08308698478020313,0.03549427043984105,-0.008243656113824967,-0.561861383726622
mathtutorbench_scaffolding_hard,default_tutoring,default_tutoring,doubao-seed-2.0-pro,0.0901083705482747,0.0723098346102281,-0.06916717207282108,-0.032226354441876576,-0.040061899635876176,-0.008243656113824967,0.9568362577876575
mathtutorbench_scaffolding_hard,default_tutoring,default_tutoring,glm-5.2,0.021398260815070534,0.34131934931668245,-0.048613668566838346,0.02193317391524576,0.009260923319062921,-0.008243656113824967,0.08967841406025409
mathtutorbench_scaffolding_hard,default_tutoring,default_tutoring,minimax-m2.7,-0.16899501445558046,-0.3136771315503693,-0.031157551231873592,0.0014473372745385203,-0.015112755580917498,-0.008243656113824967,-0.34247471879150526
mathtutorbench_scaffolding_hard,default_tutoring,default_tutoring,minimax-m3,-0.03429996145001235,-0.15001761462235766,0.011586006065393908,0.012287290245736519,-0.01187959770690141,-0.008243656113824967,0.06423048505997475
mathtutorbench_scaffolding_hard,default_tutoring,default_tutoring,qwen3.5-4b,0.17079948594320582,-0.058049770418528046,0.25226068557811426,-0.08652843177384736,0.022299059164791125,0.041218280569124834,-0.20640905438975934
mathtutorbench_socratic,prompted_tutoring,socratic_prompt,deepseek-v4-pro,-0.02048059556016199,0.10628495080628488,-0.08339454206009765,0.0360684193464799,0.022682152144895676,-0.011506675288711842,-0.5379547917076999
mathtutorbench_socratic,prompted_tutoring,socratic_prompt,doubao-seed-2.0-pro,-0.003512866798197929,-0.18525942587464506,0.07625211354897334,-0.002608559689884436,-0.003719872951762891,-0.011506675288711842,0.08375942431503125
mathtutorbench_socratic,prompted_tutoring,socratic_prompt,glm-5.2,-0.007448268296117602,0.06087521592914783,-0.06029893168911115,0.0021566963257775374,-0.008619217815060358,-0.011506675288711842,-0.31109039855730464
mathtutorbench_socratic,prompted_tutoring,socratic_prompt,minimax-m2.7,0.0005124167590574998,0.023427103289859735,0.015727848945342966,-0.022258229578799117,-0.008619217815060358,-0.011506675288711842,0.6253046215208148
mathtutorbench_socratic,prompted_tutoring,socratic_prompt,minimax-m3,-0.00433448755187347,-0.04611752237825054,0.016257210427385125,0.0017591488039152264,0.006895374252048287,0.010762356950314448,0.08982658314645063
mathtutorbench_socratic,prompted_tutoring,socratic_prompt,qwen3.5-4b,0.0352638014472935,0.040789678227603134,0.03545630082750738,-0.015117475207489118,-0.008619217815060358,0.035264344204532914,0.05015456128270813
mmlu_pro,general_reasoning,baseline,deepseek-v4-pro,-0.15876378687837708,-0.19377565588614543,-0.046868643009884914,-0.028313586231679195,-0.004981360810709396,-0.5621186701850106,-0.9448910263745454
mmlu_pro,general_reasoning,baseline,doubao-seed-2.0-pro,0.2318529368145892,0.25573463488389964,-0.04923191395830894,0.06086227468208228,0.031884470374256464,0.4804657663046777,0.8935194746930755
mmlu_pro,general_reasoning,baseline,glm-5.2,0.05158280389294255,0.05400661711894584,0.07089960626132441,0.03534349847720552,-0.010280936347740239,-0.21926082186271675,0.0005942528614691383
mmlu_pro,general_reasoning,baseline,minimax-m2.7,-0.07171836156945409,-0.1553831803126355,0.03322431699223791,-0.17743499956173556,-0.0012572652610669162,-0.24331473846414728,-0.9444284822543895
mmlu_pro,general_reasoning,baseline,minimax-m3,-0.14854372428435053,-0.1632162707841335,0.07762292374621185,0.0434882791570056,0.018103897280309984,0.4740569329174629,0.09797888147459297
mmlu_pro,general_reasoning,baseline,qwen3.5-4b,0.09559013202464997,0.20263385498006894,-0.08564629003158032,0.06605453347712134,-0.0334688052350499,0.0701715312897339,0.8972268995997973
mooccube_prereq,general_reasoning,baseline,deepseek-v4-pro,-0.11620830872182299,-0.12088277106821849,0.04003102339249729,-0.08790761611471908,-0.0296865426818174,-0.3422661463698275,-0.8006922429211237
mooccube_prereq,general_reasoning,baseline,doubao-seed-2.0-pro,0.15040507384452775,0.20528438822697556,-0.09730680484960652,0.08913381083094707,0.008235048645545012,0.36438986046242733,0.7048346986616407
mooccube_prereq,general_reasoning,baseline,glm-5.2,-0.04645183038143011,-0.08745675353044473,0.0392364412154358,-0.03715407309132403,-0.04545510501191403,-0.2867984461868602,-0.20882584944612984
mooccube_prereq,general_reasoning,baseline,minimax-m2.7,-0.07434857191033811,-0.13127574764766123,0.025581549813765734,-0.07853573438732393,-0.06742428521224712,-0.328433251151057,-0.9704110405113117
mooccube_prereq,general_reasoning,baseline,minimax-m3,-0.07248402154847612,-0.10508947303396587,0.042168965190379416,0.0037379283466822486,0.058296845490167136,0.5188633350577994,0.4559397907085679
mooccube_prereq,general_reasoning,baseline,qwen3.5-4b,0.15908765871753955,0.2394203570533148,-0.04971117476247177,0.11072568441573774,0.07603403877026642,0.07424464818751804,0.8191546435083567
p07_selfcheck,self_monitoring,baseline,deepseek-v4-pro,0.009509240731335505,-0.06989999500100837,-0.0059493579501629255,-0.05405294555083601,0.004791370289717133,-0.383564862833004,-0.4351391419785402
p07_selfcheck,self_monitoring,baseline,doubao-seed-2.0-pro,0.008096715679429961,1.0347763887262143e-05,0.02856935600907705,0.038726398977220924,0.021801371864396773,0.22420470633836956,0.3261643654773681
p07_selfcheck,self_monitoring,baseline,glm-5.2,0.1023669850399126,0.07249982153361006,0.03033258257961559,0.04997574281304497,0.019766171962192648,-0.26894711296077123,0.24080158439955612
p07_selfcheck,self_monitoring,baseline,minimax-m2.7,-0.09127124888943305,-0.08385655862281427,-0.033379388068111505,-0.11215672692049654,-0.03616396802575709,0.05564401967493717,-0.8428784206264095
p07_selfcheck,self_monitoring,baseline,minimax-m3,-0.08398561406316177,-0.09865529783302374,-0.0016917509556249658,0.036593206848878325,0.024586319745128354,0.35028177083869405,0.11649200048076015
p07_selfcheck,self_monitoring,baseline,qwen3.5-4b,0.055283921501916765,0.1799016821593491,-0.017881441614793252,0.040914323832188314,-0.0347812658356778,0.02238147894177442,0.5945596122472654
p08_abstention,self_monitoring,baseline,deepseek-v4-pro,-0.12085855289646633,-0.10566135614695138,-0.047862040371571025,-0.03296082921644723,0.11940151463614507,-0.30379826674048066,-0.6145890977796705
p08_abstention,self_monitoring,baseline,doubao-seed-2.0-pro,0.12439794255152306,0.1487684833436986,0.028502169155667303,0.029926319335832285,-0.140231963912125,0.48205800735407384,0.6983869349828052
p08_abstention,self_monitoring,baseline,glm-5.2,0.052621312041125155,0.018708860372523364,0.1079664031047824,-0.02077046729430606,-0.011492798674893693,-0.23095485922025327,-0.08977853362224504
p08_abstention,self_monitoring,baseline,minimax-m2.7,-0.04013423837629716,-0.025902884312833274,-0.09223834510913313,0.07978300053219303,0.08718293656130847,-0.11968819519691427,-0.18975235463660917
p08_abstention,self_monitoring,baseline,minimax-m3,0.002733374248271952,-0.023006083828867572,-0.001691982324028019,-0.13927005714196433,-0.017237089490170967,0.2364677944387614,-0.65517222619696
p08_abstention,self_monitoring,baseline,qwen3.5-4b,-0.01875983756815666,-0.012907019427569721,0.005323795544282493,0.08329203378469227,-0.03762259912026389,-0.06408448063518703,0.8509052772526797
p08_calibration,self_monitoring,baseline,deepseek-v4-pro,-0.10091079811713143,-0.0981028333305803,-0.042777766034600796,-0.04737843975886781,-0.035049291269861796,-0.366456480884422,-0.6823092959446119
p08_calibration,self_monitoring,baseline,doubao-seed-2.0-pro,0.023385145088500075,0.03138092695836931,-0.004689965303771525,0.07400926348695627,0.050691683727752616,0.24527322829664755,0.45486832669582566
p08_calibration,self_monitoring,baseline,glm-5.2,0.16039280881644974,0.0276333287269573,0.043677066442660256,0.05164292171268807,0.016161800319251723,-0.19615739443028415,0.054656131120023946
p08_calibration,self_monitoring,baseline,minimax-m2.7,-0.10459264780688403,-0.11814710924029488,0.043417292180693644,-0.23219516306306798,-0.062497747653975366,-0.10407434853593205,-0.7935315879090464
p08_calibration,self_monitoring,baseline,minimax-m3,-0.06624097778393177,-0.08247539283916426,0.00524227166637769,0.0549919924625609,0.06167694388410675,0.37745779659846995,0.1993881602636212
p08_calibration,self_monitoring,baseline,qwen3.5-4b,0.08796646980299741,0.23971107972471284,-0.04486889895135925,0.09892942515973055,-0.03098338900727392,0.043957198955520756,0.7669282657741874
sas_bench,educational_assessment,baseline,deepseek-v4-pro,0.03485857877020057,-0.02739472048427837,-0.01137002121005124,-0.015580672591323109,-0.04257186051402326,-0.03188836650580646,-0.2720756653732585
sas_bench,educational_assessment,baseline,doubao-seed-2.0-pro,0.1355412929334759,0.021064235687480847,-0.005995317519519293,-0.012199911142585026,0.016986394141070074,-0.03188836650580646,0.14603261569484993
sas_bench,educational_assessment,baseline,glm-5.2,-0.09900931818004297,-0.026462984645796814,-0.03337963689523794,0.0028679222149151223,0.008329177172233563,-0.03188836650580646,-0.5807144076873377
sas_bench,educational_assessment,baseline,minimax-m2.7,0.08321969669601019,0.06309145164939989,0.04623078397408154,0.05572079349489828,0.03776868818654014,0.13204575088860682,1.1501175496009342
sas_bench,educational_assessment,baseline,minimax-m3,-0.039777843472218834,-0.012714040599572473,0.02161455371029014,-0.015655645199849234,0.0253083415063879,-0.024127166380260356,0.1711225356180358
sas_bench,educational_assessment,baseline,qwen3.5-4b,-0.11483240674742487,-0.017583941607233075,-0.01710036205956321,-0.015152486776056046,-0.04582074049220843,-0.01225348499092709,-0.6144826278532237
