domain,model,communal_expression,dialogic_engagement,directive_expression,epistemic_caution_language,boundary_refusal_expression,organizational_style,verbosity
instruction_following,glm-5.2,0.054901324658032775,0.08549613241917826,-0.020520521799572592,0.037072724823220715,0.010824256269901023,-0.009562177199379683,-0.11964477738186859
instruction_following,minimax-m2.7,-0.04911670387924078,-0.07435315813289568,1.6072433321611308e-05,-0.022005132718603652,0.04138972526705883,0.03218552936595177,-0.13660091637269073
instruction_following,minimax-m3,0.010049586529398389,0.010171980073609586,-0.00014889513417410544,0.024232562190050023,0.044294970653176,0.11026761038535739,0.22797006013014243
instruction_following,qwen3.5-4b,0.028222623660390328,0.018352222513903508,0.090265652189314,-0.007889188937736961,-0.00475438839391977,-0.026563778257343,-0.8160806632373587
prompted_tutoring,deepseek-v4-pro,-0.02496597881933156,0.18627747373244075,-0.12838597957320583,0.04624845114691047,0.002725699488058954,-0.00804873374172513,-0.59190346738358
prompted_tutoring,doubao-seed-2.0-pro,0.033835294553457046,-0.10521411495013366,0.08364599182811279,-0.06092684851593469,0.0008017488315374337,-0.00804873374172513,0.2105180150612421
prompted_tutoring,glm-5.2,-0.014377012216531232,0.009035569305636525,0.007387601747634522,-0.000127572958648382,0.015871725326831728,-0.00804873374172513,-0.02765095996695452
prompted_tutoring,minimax-m2.7,-0.01203813271997478,-0.06914544271066259,-0.08297459503181503,0.04701683232479659,-0.01723117181129145,-0.00804873374172513,0.08633350999415358
prompted_tutoring,minimax-m3,0.014548917578809906,-0.051985556756437866,0.03404287302575119,-0.015504662114840912,0.008756304082103192,-0.0006257229953830328,0.24241108033494788
prompted_tutoring,qwen3.5-4b,0.002996911623570619,0.031032071379156836,0.08628410800352236,-0.016706199882283067,-0.010924305917239854,0.03282065796228355,0.08029182196019091
safety_assistance,deepseek-v4-pro,0.18991694219412253,0.16868739063452046,0.014058338210169863,-0.06381524010407556,-0.17597763018188262,-0.1754255391690476,0.5961111462293938
safety_assistance,doubao-seed-2.0-pro,0.02511497047374888,-0.014281817183576554,0.06279627518091602,-0.1609631059506387,-0.24099674126478351,0.023640030187173033,0.8825274645938718
safety_assistance,glm-5.2,0.009375976323346236,-0.03050140638449762,0.10332173986192439,0.07853080165225912,0.0699037612595092,-0.14594956217447627,-0.06955132672087877
safety_assistance,minimax-m2.7,-0.2665809904902901,-0.24155680412185285,-0.1551550088567592,0.0376672029451525,0.5122935043134637,-0.12535265471764018,-1.4729594276374716
safety_assistance,minimax-m3,-0.09903098336988161,-0.026670975164411304,-0.017303822853402043,-0.013658559550698687,-0.10380074440938732,0.32680907272254317,-0.09398018126387594
safety_assistance,qwen3.5-4b,0.1412040848689541,0.14432361221981782,-0.00771752154284903,0.12223890100800137,-0.061422149716919484,0.09627865315144786,0.15785232479896055
self_monitoring,deepseek-v4-pro,-0.07075337009408741,-0.09122139482618001,-0.03219638811877825,-0.04479740484205035,0.0297145312186668,-0.3512732034859689,-0.5773458452342742
self_monitoring,doubao-seed-2.0-pro,0.051959934439817695,0.06005325268865172,0.01746051995365761,0.0475539939333365,-0.02257963610665854,0.31717864732969697,0.4931398757186663
self_monitoring,glm-5.2,0.1051270352991625,0.03961400354436358,0.06065868404235275,0.026949399077142323,0.008145057868850225,-0.2320197888704362,0.06855972729911168
self_monitoring,minimax-m2.7,-0.07866604502420475,-0.07596885072531413,-0.027400146998850333,-0.08818962981712382,-0.0038262597061413267,-0.05603950801930305,-0.6087207877240217
self_monitoring,minimax-m3,-0.04916440586627386,-0.06804559150035185,0.0006195127955749017,-0.015894952610175036,0.023008724713021383,0.3214024539586418,-0.11309735515085957
self_monitoring,qwen3.5-4b,0.04149685124558584,0.13556858081883075,-0.019142181673956673,0.07437859425887038,-0.03446241798773854,0.0007513990873693824,0.7374643850913776
