task,dimension,model,contexts,generic_mean,pedagogy_mean,mean_delta,bootstrap_ci_low,bootstrap_ci_high
mathdial_hard,elicitation,minimax-m3,40,1.5,3.8,2.3,1.825,2.75
mathdial_hard,elicitation,qwen3.5-4b,40,1.25,3.45,2.2,1.8,2.6
mathdial_hard,epistemic_caution,deepseek-v4-pro,40,1.125,1.325,0.2,-0.025,0.425
mathdial_hard,epistemic_caution,doubao-seed-2.0-pro,40,1.1,1.35,0.25,0.0,0.525
mathdial_hard,epistemic_caution,glm-5.2,40,1.2,1.3,0.1,-0.125,0.325
mathdial_hard,epistemic_caution,minimax-m2.7,40,1.125,1.275,0.15,-0.1,0.375
mathdial_hard,epistemic_caution,minimax-m3,40,1.125,1.325,0.2,0.0,0.4
mathdial_hard,epistemic_caution,qwen3.5-4b,40,1.15,1.375,0.225,0.0,0.475
mathdial_hard,help_directness,deepseek-v4-pro,40,3.925,2.225,-1.7,-2.15,-1.225
mathdial_hard,help_directness,doubao-seed-2.0-pro,40,3.975,2.1,-1.875,-2.3,-1.425
mathdial_hard,help_directness,glm-5.2,40,3.075,2.475,-0.6,-1.0,-0.175
mathdial_hard,help_directness,minimax-m2.7,40,4.6,2.65,-1.95,-2.45,-1.45
mathdial_hard,help_directness,minimax-m3,40,4.5,2.6,-1.9,-2.375625,-1.4
mathdial_hard,help_directness,qwen3.5-4b,40,3.925,2.7,-1.225,-1.625,-0.85
mathdial_hard,personalization,deepseek-v4-pro,40,2.95,2.975,0.025,-0.175,0.225
mathdial_hard,personalization,doubao-seed-2.0-pro,40,3.125,3.075,-0.05,-0.225,0.125
mathdial_hard,personalization,glm-5.2,40,3.0,3.0,0.0,-0.15,0.125
mathdial_hard,personalization,minimax-m2.7,40,2.8,2.925,0.125,-0.075,0.35
mathdial_hard,personalization,minimax-m3,40,2.95,3.0,0.05,-0.05,0.15
mathdial_hard,personalization,qwen3.5-4b,40,2.85,2.95,0.1,-0.075,0.275
mathdial_standard,affective_warmth,deepseek-v4-pro,79,2.4683544303797467,2.367088607594937,-0.10126582278481013,-0.34177215189873417,0.13924050632911392
mathdial_standard,affective_warmth,doubao-seed-2.0-pro,79,3.9240506329113924,3.5063291139240507,-0.4177215189873418,-0.6455696202531646,-0.20253164556962025
mathdial_standard,affective_warmth,glm-5.2,79,3.1772151898734178,2.962025316455696,-0.21518987341772153,-0.4810126582278481,0.05063291139240506
mathdial_standard,affective_warmth,minimax-m2.7,79,2.4556962025316458,3.1012658227848102,0.6455696202531646,0.3924050632911392,0.8987341772151899
mathdial_standard,affective_warmth,minimax-m3,79,3.2278481012658227,3.0126582278481013,-0.21518987341772153,-0.4177215189873418,0.0
mathdial_standard,affective_warmth,qwen3.5-4b,79,3.278481012658228,3.0126582278481013,-0.26582278481012656,-0.4936708860759494,-0.012658227848101266
mathdial_standard,autonomy_support,deepseek-v4-pro,79,2.2658227848101267,3.481012658227848,1.2151898734177216,0.9113924050632911,1.5063291139240507
mathdial_standard,autonomy_support,doubao-seed-2.0-pro,79,1.7088607594936709,3.6582278481012658,1.9493670886075949,1.620253164556962,2.2531645569620253
mathdial_standard,autonomy_support,glm-5.2,79,2.962025316455696,3.481012658227848,0.5189873417721519,0.17721518987341772,0.8357594936708814
mathdial_standard,autonomy_support,minimax-m2.7,79,1.1898734177215189,3.0759493670886076,1.8860759493670887,1.6962025316455696,2.0759493670886076
mathdial_standard,autonomy_support,minimax-m3,79,1.759493670886076,3.4050632911392404,1.6455696202531647,1.3417721518987342,1.9493670886075949
mathdial_standard,autonomy_support,qwen3.5-4b,79,1.5949367088607596,2.9367088607594938,1.3417721518987342,1.0759493670886076,1.6075949367088607
mathdial_standard,cognitive_load,deepseek-v4-pro,79,1.9620253164556962,1.3417721518987342,-0.620253164556962,-0.8354430379746836,-0.4050632911392405
mathdial_standard,cognitive_load,doubao-seed-2.0-pro,79,2.3037974683544302,1.1772151898734178,-1.1265822784810127,-1.3037974683544304,-0.9493670886075949
mathdial_standard,cognitive_load,glm-5.2,79,1.9240506329113924,1.2911392405063291,-0.6329113924050633,-0.810126582278481,-0.4430379746835443
mathdial_standard,cognitive_load,minimax-m2.7,79,2.607594936708861,1.620253164556962,-0.9873417721518988,-1.240506329113924,-0.7341772151898734
mathdial_standard,cognitive_load,minimax-m3,79,2.4430379746835444,1.620253164556962,-0.8227848101265823,-1.0506329113924051,-0.5949367088607594
mathdial_standard,cognitive_load,qwen3.5-4b,79,1.9240506329113924,1.5569620253164558,-0.3670886075949367,-0.569620253164557,-0.16455696202531644
mathdial_standard,diagnostic_specificity,deepseek-v4-pro,79,3.8734177215189876,3.189873417721519,-0.6835443037974683,-0.9113924050632911,-0.45569620253164556
mathdial_standard,diagnostic_specificity,doubao-seed-2.0-pro,79,3.7468354430379747,2.7721518987341773,-0.9746835443037974,-1.2784810126582278,-0.6708860759493671
mathdial_standard,diagnostic_specificity,glm-5.2,79,3.6582278481012658,3.1265822784810124,-0.5316455696202531,-0.8227848101265823,-0.25316455696202533
mathdial_standard,diagnostic_specificity,minimax-m2.7,79,3.4936708860759493,2.632911392405063,-0.8607594936708861,-1.2025316455696202,-0.5316455696202531
mathdial_standard,diagnostic_specificity,minimax-m3,79,3.607594936708861,3.329113924050633,-0.27848101265822783,-0.620253164556962,0.06329113924050633
mathdial_standard,diagnostic_specificity,qwen3.5-4b,79,3.430379746835443,3.392405063291139,-0.0379746835443038,-0.35443037974683544,0.26582278481012656
mathdial_standard,elicitation,deepseek-v4-pro,79,2.4430379746835444,4.620253164556962,2.1772151898734178,1.8354430379746836,2.5316455696202533
mathdial_standard,elicitation,doubao-seed-2.0-pro,79,1.7088607594936709,4.8734177215189876,3.1645569620253164,2.8354430379746836,3.4683544303797467
mathdial_standard,elicitation,glm-5.2,79,3.2658227848101267,4.632911392405063,1.3670886075949367,0.9746835443037974,1.7468354430379747
mathdial_standard,elicitation,minimax-m2.7,79,1.1139240506329113,4.3164556962025316,3.2025316455696204,2.962025316455696,3.4050632911392404
mathdial_standard,elicitation,minimax-m3,79,1.9240506329113924,4.3924050632911396,2.4683544303797467,2.088607594936709,2.8227848101265822
mathdial_standard,elicitation,qwen3.5-4b,79,1.4303797468354431,3.8734177215189876,2.4430379746835444,2.151898734177215,2.7341772151898733
mathdial_standard,epistemic_caution,deepseek-v4-pro,79,1.3544303797468353,1.7848101265822784,0.43037974683544306,0.18955696202531658,0.6708860759493671
mathdial_standard,epistemic_caution,doubao-seed-2.0-pro,79,1.0759493670886076,1.5443037974683544,0.46835443037974683,0.27848101265822783,0.6582278481012658
mathdial_standard,epistemic_caution,glm-5.2,79,1.1518987341772151,1.7215189873417722,0.569620253164557,0.34177215189873417,0.7977848101265776
mathdial_standard,epistemic_caution,minimax-m2.7,79,1.1898734177215189,1.5569620253164558,0.3670886075949367,0.1518987341772152,0.569620253164557
mathdial_standard,epistemic_caution,minimax-m3,79,1.1772151898734178,1.8734177215189873,0.6962025316455697,0.4810126582278481,0.9113924050632911
mathdial_standard,epistemic_caution,qwen3.5-4b,79,1.1898734177215189,1.5316455696202531,0.34177215189873417,0.1518987341772152,0.5443037974683544
mathdial_standard,help_directness,deepseek-v4-pro,79,3.329113924050633,1.9367088607594938,-1.3924050632911393,-1.7215189873417722,-1.0759493670886076
mathdial_standard,help_directness,doubao-seed-2.0-pro,79,3.8987341772151898,1.5822784810126582,-2.3164556962025316,-2.6202531645569622,-2.0126582278481013
mathdial_standard,help_directness,glm-5.2,79,2.9746835443037973,1.8734177215189873,-1.1012658227848102,-1.379746835443038,-0.8354430379746836
mathdial_standard,help_directness,minimax-m2.7,79,4.6835443037974684,2.4556962025316458,-2.2278481012658227,-2.4939873417721516,-1.9493670886075949
mathdial_standard,help_directness,minimax-m3,79,4.139240506329114,1.9873417721518987,-2.151898734177215,-2.4936708860759493,-1.7848101265822784
mathdial_standard,help_directness,qwen3.5-4b,79,3.6455696202531644,2.5822784810126582,-1.0632911392405062,-1.3544303797468353,-0.759177215189878
mathdial_standard,personalization,deepseek-v4-pro,79,2.848101265822785,2.8607594936708862,0.012658227848101266,-0.10126582278481013,0.12658227848101267
mathdial_standard,personalization,doubao-seed-2.0-pro,79,3.0,2.8860759493670884,-0.11392405063291139,-0.21518987341772153,-0.02531645569620253
mathdial_standard,personalization,glm-5.2,79,2.8860759493670884,2.949367088607595,0.06329113924050633,-0.06329113924050633,0.20253164556962025
mathdial_standard,personalization,minimax-m2.7,79,2.632911392405063,2.810126582278481,0.17721518987341772,0.0379746835443038,0.3291139240506329
mathdial_standard,personalization,minimax-m3,79,2.8227848101265822,2.8987341772151898,0.0759493670886076,0.0,0.16455696202531644
mathdial_standard,personalization,qwen3.5-4b,79,2.8354430379746836,2.911392405063291,0.0759493670886076,-0.02531645569620253,0.189873417721519
