judge,task,dimension,ratings,mean,sd,floor_fraction,ceiling_fraction,unique_values,normalized_entropy
MiniMax-M3,socratic,help_directness,480,1.9916666666666667,1.123579349915063,0.4708333333333333,0.0375,5,0.8043767037943022
MiniMax-M3,socratic,personalization,480,1.3520833333333333,0.6793040505219704,0.7583333333333333,0.0020833333333333333,4,0.4529492829649358
deepseek-v4-pro,longtutor,affective_warmth,240,2.8291666666666666,1.2179145997245548,0.1875,0.12083333333333333,5,0.9206248069666566
deepseek-v4-pro,longtutor,autonomy_support,240,2.225,1.2613650013642628,0.42916666666666664,0.07083333333333333,5,0.8411670428343926
deepseek-v4-pro,longtutor,cognitive_load,240,2.3583333333333334,1.093890863944947,0.26666666666666666,0.05416666666666667,5,0.86348886426786
deepseek-v4-pro,longtutor,diagnostic_specificity,240,2.6083333333333334,1.6871861848125187,0.4375,0.2833333333333333,5,0.815666774296315
deepseek-v4-pro,longtutor,elicitation,240,3.2375,1.3896379924282438,0.17916666666666667,0.25833333333333336,5,0.9416939365101676
deepseek-v4-pro,longtutor,epistemic_caution,240,1.325,0.9588404455382552,0.8708333333333333,0.04583333333333333,5,0.3446002501932285
deepseek-v4-pro,longtutor,help_directness,240,3.404166666666667,1.0484032170665807,0.06666666666666667,0.21666666666666667,5,0.7019907874122432
deepseek-v4-pro,longtutor,personalization,240,3.5375,1.6927080128204826,0.2625,0.5,5,0.77918367870727
deepseek-v4-pro,mathdial_hard,affective_warmth,480,2.845833333333333,1.3217662320630765,0.24375,0.17291666666666666,5,0.8121576469028088
deepseek-v4-pro,mathdial_hard,autonomy_support,480,2.1,1.5324272685296791,0.6145833333333334,0.15833333333333333,5,0.6897622482051426
deepseek-v4-pro,mathdial_hard,cognitive_load,480,1.6125,0.9441982930860798,0.6770833333333334,0.008333333333333333,5,0.5432477542599086
deepseek-v4-pro,mathdial_hard,diagnostic_specificity,480,3.13125,1.8712358048893785,0.4083333333333333,0.4625,5,0.6704851509106036
deepseek-v4-pro,mathdial_hard,elicitation,480,2.939583333333333,1.803496555690886,0.42083333333333334,0.38958333333333334,5,0.6885171862945548
deepseek-v4-pro,mathdial_hard,epistemic_caution,480,1.1875,0.6243746871871089,0.9083333333333333,0.00625,5,0.23655758012109057
deepseek-v4-pro,mathdial_hard,help_directness,480,3.027083333333333,1.7444244016452979,0.375,0.37916666666666665,5,0.7315272620053781
deepseek-v4-pro,mathdial_hard,personalization,480,2.814583333333333,0.7752659713858778,0.125,0.03333333333333333,4,0.33115055280949507
deepseek-v4-pro,mathdial_standard,affective_warmth,948,3.310126582278481,1.2864199762460715,0.1308016877637131,0.270042194092827,5,0.8450380039270454
deepseek-v4-pro,mathdial_standard,autonomy_support,948,2.411392405063291,1.636076969533425,0.5158227848101266,0.21940928270042195,5,0.7748826755727216
deepseek-v4-pro,mathdial_standard,cognitive_load,948,1.5327004219409284,0.8965394598566149,0.7088607594936709,0.00949367088607595,5,0.5225420386300578
deepseek-v4-pro,mathdial_standard,diagnostic_specificity,948,3.3639240506329116,1.8134071140591408,0.3333333333333333,0.5137130801687764,5,0.6818894298888537
deepseek-v4-pro,mathdial_standard,elicitation,948,3.191983122362869,1.8068841259031758,0.3628691983122363,0.45675105485232065,5,0.6956660843947872
deepseek-v4-pro,mathdial_standard,epistemic_caution,948,1.370253164556962,0.9030195123612643,0.8354430379746836,0.024261603375527425,5,0.3814843337153657
deepseek-v4-pro,mathdial_standard,help_directness,948,2.7130801687763713,1.6932348032857696,0.4388185654008439,0.2921940928270042,5,0.7299478762852184
deepseek-v4-pro,mathdial_standard,personalization,948,2.787974683544304,0.7162835631361316,0.12025316455696203,0.015822784810126583,5,0.3269732318327718
deepseek-v4-pro,socratic,affective_warmth,480,1.0,0.0,1.0,0.0,1,-0.0
deepseek-v4-pro,socratic,autonomy_support,480,1.0125,0.14379528272281164,0.9916666666666667,0.0,3,0.033533760369060146
deepseek-v4-pro,socratic,cognitive_load,480,3.28125,0.9208592567995032,0.025,0.16041666666666668,5,0.6946491069326821
deepseek-v4-pro,socratic,diagnostic_specificity,480,1.0,0.0,1.0,0.0,1,-0.0
deepseek-v4-pro,socratic,elicitation,480,5.0,0.0,0.0,1.0,1,-0.0
deepseek-v4-pro,socratic,epistemic_caution,480,1.1,0.4358898943540674,0.95,0.0,2,0.12334445573339317
deepseek-v4-pro,socratic,help_directness,480,2.089583333333333,1.1611308394788629,0.5,0.0375,5,0.5866019883285983
deepseek-v4-pro,socratic,personalization,480,1.3333333333333333,0.7453559924999299,0.8333333333333334,0.0,2,0.279949419226045
glm-5.2,longtutor,affective_warmth,240,2.908333333333333,0.8415841543713195,0.04583333333333333,0.025,5,0.7711984412748148
glm-5.2,longtutor,autonomy_support,240,2.779166666666667,0.8146978819715249,0.08333333333333333,0.0,4,0.7253549936038205
glm-5.2,longtutor,cognitive_load,240,2.870833333333333,0.7041420114026873,0.016666666666666666,0.020833333333333332,5,0.6510026171205725
glm-5.2,longtutor,diagnostic_specificity,240,3.004166666666667,1.0020725051390023,0.07916666666666666,0.05416666666666667,5,0.872011780252976
glm-5.2,longtutor,elicitation,240,2.8958333333333335,1.0049789245993614,0.09166666666666666,0.03333333333333333,5,0.8702771654170407
glm-5.2,longtutor,epistemic_caution,240,1.825,0.8530582238823639,0.425,0.004166666666666667,5,0.7241636198598839
glm-5.2,longtutor,help_directness,240,3.2916666666666665,0.8650224788344456,0.004166666666666667,0.13333333333333333,5,0.7204733775319633
glm-5.2,longtutor,personalization,240,3.2583333333333333,1.2315020187649803,0.15416666666666667,0.11666666666666667,5,0.8999328808267357
glm-5.2,mathdial_hard,affective_warmth,480,2.78125,1.068518493444701,0.14166666666666666,0.05,5,0.900763614267397
glm-5.2,mathdial_hard,autonomy_support,480,2.475,1.1758861906380793,0.30625,0.025,5,0.8799136275424152
glm-5.2,mathdial_hard,cognitive_load,480,2.0083333333333333,0.863576220659699,0.33125,0.00625,5,0.7439841120271615
glm-5.2,mathdial_hard,diagnostic_specificity,480,3.2916666666666665,1.4209494087483279,0.18541666666666667,0.24791666666666667,5,0.9715196829286553
glm-5.2,mathdial_hard,elicitation,480,2.972916666666667,1.7227932241147095,0.38125,0.3125,5,0.8672317902407228
glm-5.2,mathdial_hard,epistemic_caution,480,1.3875,0.7386995893685966,0.7458333333333333,0.0020833333333333333,5,0.49434159068842143
glm-5.2,mathdial_hard,help_directness,480,3.30625,1.427396559299482,0.12708333333333333,0.3416666666666667,5,0.9195165627172667
glm-5.2,mathdial_hard,personalization,480,2.9791666666666665,0.36455357021370055,0.010416666666666666,0.0020833333333333333,5,0.2586170757340539
glm-5.2,mathdial_standard,affective_warmth,948,3.0643459915611815,0.9295176454944899,0.05590717299578059,0.060126582278481014,5,0.8232113881830286
glm-5.2,mathdial_standard,autonomy_support,948,2.6413502109704643,1.186269492034598,0.25738396624472576,0.03164556962025317,5,0.8972285677556595
glm-5.2,mathdial_standard,cognitive_load,948,1.9272151898734178,0.8605131969540832,0.3755274261603376,0.002109704641350211,5,0.7395064531460689
glm-5.2,mathdial_standard,diagnostic_specificity,948,3.459915611814346,1.3800403563967603,0.1571729957805907,0.28164556962025317,5,0.9456256495990318
glm-5.2,mathdial_standard,elicitation,948,3.1455696202531644,1.6737963722585647,0.31645569620253167,0.3291139240506329,5,0.904230937829875
glm-5.2,mathdial_standard,epistemic_caution,948,1.5548523206751055,0.8593907169333136,0.6508438818565401,0.005274261603375527,5,0.6097713591270493
glm-5.2,mathdial_standard,help_directness,948,3.0179324894514767,1.468622286907925,0.20042194092827004,0.2742616033755274,5,0.9470489609866197
glm-5.2,mathdial_standard,personalization,948,2.9430379746835444,0.40163701235962296,0.023206751054852322,0.0,4,0.25819765474347534
glm-5.2,socratic,affective_warmth,480,1.0,0.0,1.0,0.0,1,-0.0
glm-5.2,socratic,autonomy_support,480,1.8104166666666666,0.7981070269010848,0.42916666666666664,0.0,4,0.672662643501797
glm-5.2,socratic,cognitive_load,480,2.910416666666667,0.6632431628411677,0.010416666666666666,0.022916666666666665,5,0.604813844932453
glm-5.2,socratic,diagnostic_specificity,480,1.0229166666666667,0.20790581133986824,0.9875,0.0,3,0.045251137003092495
glm-5.2,socratic,elicitation,480,4.933333333333334,0.25766041389567174,0.0,0.9354166666666667,3,0.15446403537441875
glm-5.2,socratic,epistemic_caution,480,1.7625,0.9627705247530863,0.6104166666666667,0.0,3,0.4581687094987681
glm-5.2,socratic,help_directness,480,1.5541666666666667,0.8248632041469395,0.6416666666666667,0.0,4,0.5993478189378119
glm-5.2,socratic,personalization,480,1.5416666666666667,0.8746030845792595,0.7125,0.0,4,0.4550738431091262
