task,arm,dimension,ratings,mean,sd,floor_fraction,ceiling_fraction,unique_values,normalized_entropy
mathdial_hard,pedagogy,cognitive_load,240,1.5375,0.6635212254831542,0.5583333333333333,0.0,3,0.5699781615635495
mathdial_hard,pedagogy,diagnostic_specificity,240,2.9458333333333333,1.432212497812,0.24583333333333332,0.175,5,0.98868827691635
mathdial_hard,pedagogy,elicitation,240,4.1,1.2741009902410931,0.09583333333333334,0.5708333333333333,5,0.7301458038628602
mathdial_hard,pedagogy,epistemic_caution,240,1.325,0.6213225142119563,0.7583333333333333,0.0,3,0.4403224766118018
mathdial_hard,pedagogy,help_directness,240,2.4583333333333335,1.203438361067524,0.25416666666666665,0.09583333333333334,5,0.9063711072477016
mathdial_hard,pedagogy,personalization,240,2.9875,0.2955397604384222,0.008333333333333333,0.004166666666666667,5,0.161764231345307
mathdial_standard,generic,affective_warmth,474,3.088607594936709,1.0086947753486852,0.07172995780590717,0.09071729957805907,5,0.8624987607478769
mathdial_standard,generic,autonomy_support,474,1.9135021097046414,1.1431815719891718,0.5337552742616034,0.02109704641350211,5,0.7795889223537833
mathdial_standard,generic,cognitive_load,474,2.1940928270042193,0.8520804273507794,0.23417721518987342,0.004219409282700422,5,0.7589804323006158
mathdial_standard,generic,diagnostic_specificity,474,3.6350210970464136,1.4967324817474177,0.17088607594936708,0.4092827004219409,5,0.8960519815881787
mathdial_standard,generic,elicitation,474,1.981012658227848,1.4545354021565404,0.6265822784810127,0.12447257383966245,5,0.7262798806111428
mathdial_standard,generic,epistemic_caution,474,1.1898734177215189,0.5862549962992106,0.8755274261603375,0.006329113924050633,5,0.30756849265491437
mathdial_standard,generic,help_directness,474,3.778481012658228,1.4140199945538716,0.10759493670886076,0.5042194092827004,5,0.8225540467497708
mathdial_standard,generic,personalization,474,2.8375527426160336,0.5444223532286396,0.06540084388185655,0.0,4,0.3114878508763583
mathdial_standard,pedagogy,affective_warmth,474,2.9936708860759493,0.84066104772926,0.06329113924050633,0.027426160337552744,5,0.7424340554287823
mathdial_standard,pedagogy,autonomy_support,474,3.339662447257384,0.8694466279195993,0.02109704641350211,0.06118143459915612,5,0.7848330476761933
mathdial_standard,pedagogy,cognitive_load,474,1.4345991561181435,0.6599970813125312,0.6582278481012658,0.0,4,0.5281313599289622
mathdial_standard,pedagogy,diagnostic_specificity,474,3.0738396624472575,1.407046471073441,0.21308016877637131,0.20464135021097046,5,0.978829919491043
mathdial_standard,pedagogy,elicitation,474,4.451476793248945,0.9225080085466764,0.023206751054852322,0.6708860759493671,5,0.6027416648885343
mathdial_standard,pedagogy,epistemic_caution,474,1.6687763713080168,0.8177847641368375,0.5379746835443038,0.002109704641350211,5,0.6562786622670159
mathdial_standard,pedagogy,help_directness,474,2.069620253164557,1.0460923183413415,0.3691983122362869,0.0379746835443038,5,0.8159739020331842
mathdial_standard,pedagogy,personalization,474,2.8860759493670884,0.4000213635271335,0.027426160337552744,0.0,4,0.22929587509359553
socratic,socratic,affective_warmth,480,1.0,0.0,1.0,0.0,1,-0.0
socratic,socratic,autonomy_support,480,1.625,0.7048936089935842,0.50625,0.0,3,0.6082743309594514
socratic,socratic,cognitive_load,480,3.0145833333333334,0.7287230793579198,0.0020833333333333333,0.04791666666666667,5,0.6474470517440527
socratic,socratic,diagnostic_specificity,480,1.0,0.0,1.0,0.0,1,-0.0
socratic,socratic,elicitation,480,4.991666666666666,0.09090593428863095,0.0,0.9916666666666667,2,0.029944789051781873
socratic,socratic,epistemic_caution,480,1.0520833333333333,0.315231121119445,0.9729166666666667,0.0,3,0.08189024443377019
socratic,socratic,help_directness,480,1.7229166666666667,0.9221215536588558,0.5645833333333333,0.008333333333333333,5,0.6619746601245131
socratic,socratic,personalization,480,1.2291666666666667,0.5823652681569836,0.8520833333333333,0.0,3,0.32364479553071623
