arm,model,event,progress,cue_pole,size,mean
explicit,deepseek-v4-pro,reasoning_elicitation,correct_partial,frustrated,64,0.0
explicit,deepseek-v4-pro,reasoning_elicitation,wrong_attempt,calm,64,0.0
explicit,deepseek-v4-pro,reasoning_elicitation,wrong_attempt,frustrated,64,0.0
explicit,doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,calm,64,0.0
explicit,doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,frustrated,64,0.859375
explicit,doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,calm,64,0.375
explicit,doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,frustrated,64,1.0
explicit,doubao-seed-2.0-lite,answer_reveal,correct_partial,calm,64,1.0
explicit,doubao-seed-2.0-lite,answer_reveal,correct_partial,frustrated,64,1.0
explicit,doubao-seed-2.0-lite,answer_reveal,wrong_attempt,calm,64,1.0
explicit,doubao-seed-2.0-lite,answer_reveal,wrong_attempt,frustrated,64,1.0
explicit,doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,calm,64,0.03125
explicit,doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,frustrated,64,0.015625
explicit,doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,calm,64,0.078125
explicit,doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,frustrated,64,0.03125
explicit,glm-5.3,affect_acknowledgement,correct_partial,calm,64,0.0625
explicit,glm-5.3,affect_acknowledgement,correct_partial,frustrated,64,0.78125
explicit,glm-5.3,affect_acknowledgement,wrong_attempt,calm,64,0.375
explicit,glm-5.3,affect_acknowledgement,wrong_attempt,frustrated,64,0.9375
explicit,glm-5.3,answer_reveal,correct_partial,calm,64,0.140625
explicit,glm-5.3,answer_reveal,correct_partial,frustrated,64,0.28125
explicit,glm-5.3,answer_reveal,wrong_attempt,calm,64,0.140625
explicit,glm-5.3,answer_reveal,wrong_attempt,frustrated,64,0.21875
explicit,glm-5.3,reasoning_elicitation,correct_partial,calm,64,0.984375
explicit,glm-5.3,reasoning_elicitation,correct_partial,frustrated,64,0.890625
explicit,glm-5.3,reasoning_elicitation,wrong_attempt,calm,64,0.953125
explicit,glm-5.3,reasoning_elicitation,wrong_attempt,frustrated,64,1.0
implicit,MiniMax-M2.7,affect_acknowledgement,correct_partial,calm,64,0.0
implicit,MiniMax-M2.7,affect_acknowledgement,correct_partial,frustrated,64,0.40625
implicit,MiniMax-M2.7,affect_acknowledgement,wrong_attempt,calm,64,0.09375
implicit,MiniMax-M2.7,affect_acknowledgement,wrong_attempt,frustrated,64,0.59375
implicit,MiniMax-M2.7,answer_reveal,correct_partial,calm,64,0.96875
implicit,MiniMax-M2.7,answer_reveal,correct_partial,frustrated,64,1.0
implicit,MiniMax-M2.7,answer_reveal,wrong_attempt,calm,64,0.984375
implicit,MiniMax-M2.7,answer_reveal,wrong_attempt,frustrated,64,1.0
implicit,MiniMax-M2.7,reasoning_elicitation,correct_partial,calm,64,0.078125
implicit,MiniMax-M2.7,reasoning_elicitation,correct_partial,frustrated,64,0.015625
implicit,MiniMax-M2.7,reasoning_elicitation,wrong_attempt,calm,64,0.109375
implicit,MiniMax-M2.7,reasoning_elicitation,wrong_attempt,frustrated,64,0.046875
implicit,MiniMax-M3,affect_acknowledgement,correct_partial,calm,64,0.078125
implicit,MiniMax-M3,affect_acknowledgement,correct_partial,frustrated,64,0.890625
implicit,MiniMax-M3,affect_acknowledgement,wrong_attempt,calm,64,0.28125
implicit,MiniMax-M3,affect_acknowledgement,wrong_attempt,frustrated,64,0.96875
implicit,MiniMax-M3,answer_reveal,correct_partial,calm,64,0.6875
implicit,MiniMax-M3,answer_reveal,correct_partial,frustrated,64,0.90625
implicit,MiniMax-M3,answer_reveal,wrong_attempt,calm,64,0.6875
implicit,MiniMax-M3,answer_reveal,wrong_attempt,frustrated,64,0.9375
implicit,MiniMax-M3,reasoning_elicitation,correct_partial,calm,64,0.484375
implicit,MiniMax-M3,reasoning_elicitation,correct_partial,frustrated,64,0.296875
implicit,MiniMax-M3,reasoning_elicitation,wrong_attempt,calm,64,0.734375
implicit,MiniMax-M3,reasoning_elicitation,wrong_attempt,frustrated,64,0.53125
implicit,deepseek-v4-pro,affect_acknowledgement,correct_partial,calm,64,0.015625
implicit,deepseek-v4-pro,affect_acknowledgement,correct_partial,frustrated,64,0.515625
implicit,deepseek-v4-pro,affect_acknowledgement,wrong_attempt,calm,64,0.1875
implicit,deepseek-v4-pro,affect_acknowledgement,wrong_attempt,frustrated,64,0.703125
implicit,deepseek-v4-pro,answer_reveal,correct_partial,calm,64,0.875
implicit,deepseek-v4-pro,answer_reveal,correct_partial,frustrated,64,1.0
implicit,deepseek-v4-pro,answer_reveal,wrong_attempt,calm,64,0.921875
implicit,deepseek-v4-pro,answer_reveal,wrong_attempt,frustrated,64,1.0
implicit,deepseek-v4-pro,reasoning_elicitation,correct_partial,calm,64,0.140625
implicit,deepseek-v4-pro,reasoning_elicitation,correct_partial,frustrated,64,0.03125
implicit,deepseek-v4-pro,reasoning_elicitation,wrong_attempt,calm,64,0.078125
implicit,deepseek-v4-pro,reasoning_elicitation,wrong_attempt,frustrated,64,0.046875
implicit,doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,calm,64,0.015625
implicit,doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,frustrated,64,0.609375
implicit,doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,calm,64,0.203125
implicit,doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,frustrated,64,0.90625
implicit,doubao-seed-2.0-lite,answer_reveal,correct_partial,calm,64,0.984375
implicit,doubao-seed-2.0-lite,answer_reveal,correct_partial,frustrated,64,1.0
implicit,doubao-seed-2.0-lite,answer_reveal,wrong_attempt,calm,64,1.0
implicit,doubao-seed-2.0-lite,answer_reveal,wrong_attempt,frustrated,64,1.0
implicit,doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,calm,64,0.03125
implicit,doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,frustrated,64,0.0
implicit,doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,calm,64,0.109375
implicit,doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,frustrated,64,0.0
implicit,glm-5.3,affect_acknowledgement,correct_partial,calm,64,0.03125
implicit,glm-5.3,affect_acknowledgement,correct_partial,frustrated,64,0.921875
implicit,glm-5.3,affect_acknowledgement,wrong_attempt,calm,64,0.15625
implicit,glm-5.3,affect_acknowledgement,wrong_attempt,frustrated,64,0.953125
implicit,glm-5.3,answer_reveal,correct_partial,calm,64,0.140625
implicit,glm-5.3,answer_reveal,correct_partial,frustrated,64,0.3125
implicit,glm-5.3,answer_reveal,wrong_attempt,calm,64,0.15625
implicit,glm-5.3,answer_reveal,wrong_attempt,frustrated,64,0.359375
implicit,glm-5.3,reasoning_elicitation,correct_partial,calm,64,0.984375
implicit,glm-5.3,reasoning_elicitation,correct_partial,frustrated,64,0.859375
implicit,glm-5.3,reasoning_elicitation,wrong_attempt,calm,64,1.0
implicit,glm-5.3,reasoning_elicitation,wrong_attempt,frustrated,64,0.96875
peer_control,MiniMax-M2.7,affect_acknowledgement,correct_partial,calm,64,0.109375
peer_control,MiniMax-M2.7,affect_acknowledgement,correct_partial,frustrated,64,0.4375
peer_control,MiniMax-M2.7,affect_acknowledgement,wrong_attempt,calm,64,0.203125
peer_control,MiniMax-M2.7,affect_acknowledgement,wrong_attempt,frustrated,64,0.484375
peer_control,MiniMax-M2.7,answer_reveal,correct_partial,calm,64,1.0
peer_control,MiniMax-M2.7,answer_reveal,correct_partial,frustrated,64,1.0
peer_control,MiniMax-M2.7,answer_reveal,wrong_attempt,calm,64,0.984375
peer_control,MiniMax-M2.7,answer_reveal,wrong_attempt,frustrated,64,0.984375
peer_control,MiniMax-M2.7,reasoning_elicitation,correct_partial,calm,64,0.03125
peer_control,MiniMax-M2.7,reasoning_elicitation,correct_partial,frustrated,64,0.046875
peer_control,MiniMax-M2.7,reasoning_elicitation,wrong_attempt,calm,64,0.125
peer_control,MiniMax-M2.7,reasoning_elicitation,wrong_attempt,frustrated,64,0.03125
peer_control,MiniMax-M3,affect_acknowledgement,correct_partial,calm,64,0.609375
peer_control,MiniMax-M3,affect_acknowledgement,correct_partial,frustrated,64,0.8125
peer_control,MiniMax-M3,affect_acknowledgement,wrong_attempt,calm,64,0.453125
peer_control,MiniMax-M3,affect_acknowledgement,wrong_attempt,frustrated,64,0.75
peer_control,MiniMax-M3,answer_reveal,correct_partial,calm,64,0.859375
peer_control,MiniMax-M3,answer_reveal,correct_partial,frustrated,64,0.96875
peer_control,MiniMax-M3,answer_reveal,wrong_attempt,calm,64,0.953125
peer_control,MiniMax-M3,answer_reveal,wrong_attempt,frustrated,64,0.90625
peer_control,MiniMax-M3,reasoning_elicitation,correct_partial,calm,64,0.265625
peer_control,MiniMax-M3,reasoning_elicitation,correct_partial,frustrated,64,0.171875
peer_control,MiniMax-M3,reasoning_elicitation,wrong_attempt,calm,64,0.40625
peer_control,MiniMax-M3,reasoning_elicitation,wrong_attempt,frustrated,64,0.453125
peer_control,deepseek-v4-pro,affect_acknowledgement,correct_partial,calm,64,0.1875
peer_control,deepseek-v4-pro,affect_acknowledgement,correct_partial,frustrated,64,0.53125
peer_control,deepseek-v4-pro,affect_acknowledgement,wrong_attempt,calm,64,0.578125
peer_control,deepseek-v4-pro,affect_acknowledgement,wrong_attempt,frustrated,64,0.765625
peer_control,deepseek-v4-pro,answer_reveal,correct_partial,calm,64,1.0
peer_control,deepseek-v4-pro,answer_reveal,correct_partial,frustrated,64,1.0
peer_control,deepseek-v4-pro,answer_reveal,wrong_attempt,calm,64,1.0
peer_control,deepseek-v4-pro,answer_reveal,wrong_attempt,frustrated,64,1.0
peer_control,deepseek-v4-pro,reasoning_elicitation,correct_partial,calm,64,0.0
peer_control,deepseek-v4-pro,reasoning_elicitation,correct_partial,frustrated,64,0.0
peer_control,deepseek-v4-pro,reasoning_elicitation,wrong_attempt,calm,64,0.0
peer_control,deepseek-v4-pro,reasoning_elicitation,wrong_attempt,frustrated,64,0.015625
peer_control,doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,calm,64,0.140625
peer_control,doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,frustrated,64,0.203125
peer_control,doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,calm,64,0.59375
peer_control,doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,frustrated,64,0.4375
peer_control,doubao-seed-2.0-lite,answer_reveal,correct_partial,calm,64,1.0
peer_control,doubao-seed-2.0-lite,answer_reveal,correct_partial,frustrated,64,1.0
peer_control,doubao-seed-2.0-lite,answer_reveal,wrong_attempt,calm,64,1.0
peer_control,doubao-seed-2.0-lite,answer_reveal,wrong_attempt,frustrated,64,1.0
peer_control,doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,calm,64,0.015625
peer_control,doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,frustrated,64,0.0
peer_control,doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,calm,64,0.078125
peer_control,doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,frustrated,64,0.015625
peer_control,glm-5.3,affect_acknowledgement,correct_partial,calm,64,0.40625
peer_control,glm-5.3,affect_acknowledgement,correct_partial,frustrated,64,0.671875
peer_control,glm-5.3,affect_acknowledgement,wrong_attempt,calm,64,0.65625
peer_control,glm-5.3,affect_acknowledgement,wrong_attempt,frustrated,64,0.859375
peer_control,glm-5.3,answer_reveal,correct_partial,calm,64,0.203125
peer_control,glm-5.3,answer_reveal,correct_partial,frustrated,64,0.265625
peer_control,glm-5.3,answer_reveal,wrong_attempt,calm,64,0.234375
peer_control,glm-5.3,answer_reveal,wrong_attempt,frustrated,64,0.203125
peer_control,glm-5.3,reasoning_elicitation,correct_partial,calm,64,0.953125
peer_control,glm-5.3,reasoning_elicitation,correct_partial,frustrated,64,0.9375
peer_control,glm-5.3,reasoning_elicitation,wrong_attempt,calm,64,0.96875
peer_control,glm-5.3,reasoning_elicitation,wrong_attempt,frustrated,64,0.984375
