heldout_task,train_contexts,test_contexts,purged_overlapping_train_contexts,train_test_source_overlap,null_mse,global_model_mse,relative_improvement_over_null,dimension,score_panel,source_policy
mathdial_hard,180,36,8,0,0.13368055555555555,0.13543773431324674,-0.013144609927663975,epistemic_caution,consensus,exclude
mathdial_standard,147,68,9,0,0.1963383838383838,0.1950528539889399,0.006547521805527867,epistemic_caution,consensus,exclude
socratic,140,80,4,0,0.0017361111111111108,0.008737474736406365,-4.032785448170067,epistemic_caution,consensus,exclude
longtutor,184,40,0,0,0.5993055555555555,0.4785238328235356,0.20153613063048514,help_directness,consensus,exclude
mathdial_hard,180,36,8,0,0.9878472222222223,0.8023639577871032,0.1877651323631434,help_directness,consensus,exclude
mathdial_standard,147,68,9,0,1.0652356902356903,0.8207868315119491,0.22947865994769223,help_directness,consensus,exclude
socratic,140,80,4,0,0.10520833333333332,0.3061442914198928,-1.9098863342880903,help_directness,consensus,exclude
longtutor,184,40,0,0,1.4923611111111112,1.451920258721474,0.02709857023782125,personalization,consensus,exclude
mathdial_hard,180,36,8,0,0.15104166666666663,0.1893222819506731,-0.25344407360445675,personalization,consensus,exclude
mathdial_standard,147,68,9,0,0.11994949494949494,0.1373599680757471,-0.14514836543149157,personalization,consensus,exclude
socratic,140,80,4,0,0.03680555555555556,0.0940164510129788,-1.5544092350696124,personalization,consensus,exclude
longtutor,184,40,0,0,0.7470486111111111,0.6187160584014355,0.17178608031785536,affective_warmth,without_MiniMax-M3,exclude
mathdial_hard,180,36,8,0,0.9826027199074076,0.7406405289446721,0.2462462051657418,affective_warmth,without_MiniMax-M3,exclude
mathdial_standard,147,68,9,0,0.9935816498316498,0.7237684310406113,0.271556161324794,affective_warmth,without_MiniMax-M3,exclude
socratic,140,80,4,0,0.0,0.2915853533850848,,affective_warmth,without_MiniMax-M3,exclude
longtutor,184,40,0,0,0.6598958333333333,0.5639505095422896,0.14539465010166053,autonomy_support,without_MiniMax-M3,exclude
mathdial_hard,180,36,8,0,0.9818070023148149,0.8082245014561626,0.17679900474267884,autonomy_support,without_MiniMax-M3,exclude
mathdial_standard,147,68,9,0,0.8802083333333334,0.6705638831620274,0.238175943389886,autonomy_support,without_MiniMax-M3,exclude
socratic,140,80,4,0,0.02317708333333333,0.21064635047041472,-8.088561638274074,autonomy_support,without_MiniMax-M3,exclude
longtutor,184,40,0,0,0.5026041666666666,0.4012957367952551,0.20156703145400012,cognitive_load,without_MiniMax-M3,exclude
mathdial_hard,180,36,8,0,0.45160590277777785,0.41417504704617786,0.08288389390255302,cognitive_load,without_MiniMax-M3,exclude
mathdial_standard,147,68,9,0,0.43208122895622897,0.3644446472118679,0.15653672784570982,cognitive_load,without_MiniMax-M3,exclude
socratic,140,80,4,0,0.2536458333333333,0.24639806649381227,0.028574357971006936,cognitive_load,without_MiniMax-M3,exclude
longtutor,184,40,0,0,1.1609375,1.1082752748665456,0.04536180899786102,diagnostic_specificity,without_MiniMax-M3,exclude
mathdial_hard,180,36,8,0,1.1961082175925928,1.1431479145719858,0.04427718348695919,diagnostic_specificity,without_MiniMax-M3,exclude
mathdial_standard,147,68,9,0,0.631155303030303,0.6354996900239122,-0.006883229805328295,diagnostic_specificity,without_MiniMax-M3,exclude
socratic,140,80,4,0,0.0021701388888888886,0.08655174190561674,-38.883042670108196,diagnostic_specificity,without_MiniMax-M3,exclude
longtutor,184,40,0,0,1.1395833333333334,0.9725721693584383,0.14655458630338147,elicitation,without_MiniMax-M3,exclude
mathdial_hard,180,36,8,0,1.584454571759259,1.294602535643328,0.18293489840740673,elicitation,without_MiniMax-M3,exclude
mathdial_standard,147,68,9,0,1.4288194444444446,1.0858866180999815,0.24001130981094865,elicitation,without_MiniMax-M3,exclude
socratic,140,80,4,0,0.003993055555555555,0.3687194347578123,-91.34017148717388,elicitation,without_MiniMax-M3,exclude
longtutor,184,40,0,0,0.3486111111111111,0.3398597827285995,0.02510341209326028,epistemic_caution,without_MiniMax-M3,exclude
mathdial_hard,180,36,8,0,0.1492332175925926,0.14794793695463676,0.008612564003442236,epistemic_caution,without_MiniMax-M3,exclude
mathdial_standard,147,68,9,0,0.2032828282828283,0.19649140279006908,0.033408751492331024,epistemic_caution,without_MiniMax-M3,exclude
socratic,140,80,4,0,0.0008680555555555554,0.013764896966587569,-14.857161305508882,epistemic_caution,without_MiniMax-M3,exclude
longtutor,184,40,0,0,0.6512152777777777,0.4964116716937898,0.23771494829212747,help_directness,without_MiniMax-M3,exclude
mathdial_hard,180,36,8,0,1.0569299768518519,0.8676479493257057,0.17908662983515466,help_directness,without_MiniMax-M3,exclude
mathdial_standard,147,68,9,0,1.082438973063973,0.835051466852031,0.22854637754928764,help_directness,without_MiniMax-M3,exclude
socratic,140,80,4,0,0.06050347222222223,0.2669067452808599,-3.411428559017942,help_directness,without_MiniMax-M3,exclude
longtutor,184,40,0,0,1.5901041666666667,1.525053032949001,0.0409099825541821,personalization,without_MiniMax-M3,exclude
mathdial_hard,180,36,8,0,0.19697627314814814,0.21911975734231584,-0.11241701266991355,personalization,without_MiniMax-M3,exclude
mathdial_standard,147,68,9,0,0.09438131313131315,0.10977276249958462,-0.1630772963166689,personalization,without_MiniMax-M3,exclude
socratic,140,80,4,0,0.011805555555555554,0.08180172497444331,-5.929087291952846,personalization,without_MiniMax-M3,exclude
longtutor,184,40,0,0,0.5647569444444445,0.46239473174041024,0.1812500292576813,affective_warmth,without_deepseek-v4-pro,exclude
mathdial_hard,180,36,8,0,0.7716290509259259,0.5933384265402446,0.23105742865919743,affective_warmth,without_deepseek-v4-pro,exclude
mathdial_standard,147,68,9,0,0.6881313131313129,0.489836172690843,0.2881646811538573,affective_warmth,without_deepseek-v4-pro,exclude
socratic,140,80,4,0,0.0,0.21987740748885742,,affective_warmth,without_deepseek-v4-pro,exclude
longtutor,184,40,0,0,0.5887152777777777,0.505502539801213,0.14134631988941693,autonomy_support,without_deepseek-v4-pro,exclude
mathdial_hard,180,36,8,0,0.9666883680555556,0.7939691416098421,0.17867105072664669,autonomy_support,without_deepseek-v4-pro,exclude
mathdial_standard,147,68,9,0,0.8592171717171718,0.628307697514638,0.26874401699986294,autonomy_support,without_deepseek-v4-pro,exclude
socratic,140,80,4,0,0.08029513888888888,0.2354740777181868,-1.9326068922308237,autonomy_support,without_deepseek-v4-pro,exclude
longtutor,184,40,0,0,0.36475694444444445,0.28908910650946895,0.20744728534291235,cognitive_load,without_deepseek-v4-pro,exclude
mathdial_hard,180,36,8,0,0.3607494212962963,0.3348795499008184,0.07171147025688507,cognitive_load,without_deepseek-v4-pro,exclude
mathdial_standard,147,68,9,0,0.34364478114478114,0.2974402831277163,0.1344542404023834,cognitive_load,without_deepseek-v4-pro,exclude
socratic,140,80,4,0,0.30789930555555556,0.2807366865596329,0.08821916290753562,cognitive_load,without_deepseek-v4-pro,exclude
longtutor,184,40,0,0,0.7387152777777778,0.7161332927326276,0.030569267652189258,diagnostic_specificity,without_deepseek-v4-pro,exclude
mathdial_hard,180,36,8,0,0.8692129629629629,0.8426395692909504,0.030571787127322003,diagnostic_specificity,without_deepseek-v4-pro,exclude
mathdial_standard,147,68,9,0,0.5205702861952862,0.5289424074049781,-0.01608259524545974,diagnostic_specificity,without_deepseek-v4-pro,exclude
socratic,140,80,4,0,0.007552083333333332,0.0658052280081601,-7.7135198465977535,diagnostic_specificity,without_deepseek-v4-pro,exclude
longtutor,184,40,0,0,0.9074652777777779,0.8168121853246024,0.09989703702511776,elicitation,without_deepseek-v4-pro,exclude
mathdial_hard,180,36,8,0,1.5750506365740742,1.3046855606330623,0.1716548469381839,elicitation,without_deepseek-v4-pro,exclude
mathdial_standard,147,68,9,0,1.390940656565657,1.0625716901141808,0.23607690587048136,elicitation,without_deepseek-v4-pro,exclude
socratic,140,80,4,0,0.022135416666666668,0.33780282626166896,-14.260739445233044,elicitation,without_deepseek-v4-pro,exclude
longtutor,184,40,0,0,0.17621527777777776,0.17677615226741542,-0.003182893655480745,epistemic_caution,without_deepseek-v4-pro,exclude
mathdial_hard,180,36,8,0,0.10441984953703705,0.10592910433906211,-0.014453715540834411,epistemic_caution,without_deepseek-v4-pro,exclude
mathdial_standard,147,68,9,0,0.15041035353535354,0.14980610306633685,0.004017346245214881,epistemic_caution,without_deepseek-v4-pro,exclude
socratic,140,80,4,0,0.005555555555555555,0.011769006591475627,-1.1184211864656133,epistemic_caution,without_deepseek-v4-pro,exclude
longtutor,184,40,0,0,0.5638888888888889,0.4341011686281503,0.23016541524071865,help_directness,without_deepseek-v4-pro,exclude
mathdial_hard,180,36,8,0,0.9167751736111112,0.7460547705530837,0.18621839680231755,help_directness,without_deepseek-v4-pro,exclude
mathdial_standard,147,68,9,0,0.9220328282828283,0.7006151451329505,0.24014078062951483,help_directness,without_deepseek-v4-pro,exclude
socratic,140,80,4,0,0.07760416666666665,0.24911287210815836,-2.210045063407142,help_directness,without_deepseek-v4-pro,exclude
longtutor,184,40,0,0,1.1772569444444445,1.1441577094189561,0.028115557255097068,personalization,without_deepseek-v4-pro,exclude
mathdial_hard,180,36,8,0,0.12724247685185183,0.16305141136729084,-0.2814228031503292,personalization,without_deepseek-v4-pro,exclude
mathdial_standard,147,68,9,0,0.08880471380471379,0.10015431015140464,-0.12780398540159932,personalization,without_deepseek-v4-pro,exclude
socratic,140,80,4,0,0.02578125,0.07476580276675245,-1.9000068951952467,personalization,without_deepseek-v4-pro,exclude
longtutor,184,40,0,0,0.7711805555555556,0.6799505708369225,0.11829912471394133,affective_warmth,without_glm-5.2,exclude
mathdial_hard,180,36,8,0,0.9454210069444444,0.7201255550641006,0.2383017197898828,affective_warmth,without_glm-5.2,exclude
mathdial_standard,147,68,9,0,0.9439183501683501,0.6971026633889573,0.26147991162092843,affective_warmth,without_glm-5.2,exclude
socratic,140,80,4,0,0.0,0.27046892332786804,,affective_warmth,without_glm-5.2,exclude
longtutor,184,40,0,0,0.8079861111111111,0.7197778866389946,0.10917047119883783,autonomy_support,without_glm-5.2,exclude
mathdial_hard,180,36,8,0,1.0043402777777777,0.8387740719146003,0.16485070799860013,autonomy_support,without_glm-5.2,exclude
mathdial_standard,147,68,9,0,0.8804187710437712,0.6639752804973147,0.2458415218588016,autonomy_support,without_glm-5.2,exclude
socratic,140,80,4,0,0.04131944444444444,0.22414850803598735,-4.424770614652467,autonomy_support,without_glm-5.2,exclude
longtutor,184,40,0,0,0.5277777777777778,0.43034481798687985,0.1846098185511751,cognitive_load,without_glm-5.2,exclude
mathdial_hard,180,36,8,0,0.4150752314814815,0.3878014258942888,0.06570810185384324,cognitive_load,without_glm-5.2,exclude
mathdial_standard,147,68,9,0,0.42555765993266,0.3694197966495101,0.13191599768650186,cognitive_load,without_glm-5.2,exclude
socratic,140,80,4,0,0.3516493055555555,0.31687186051091754,0.0988980910674474,cognitive_load,without_glm-5.2,exclude
longtutor,184,40,0,0,1.182986111111111,1.154739479874768,0.023877398873104694,diagnostic_specificity,without_glm-5.2,exclude
mathdial_hard,180,36,8,0,1.0981626157407407,1.0763011130497684,0.019907345576707813,diagnostic_specificity,without_glm-5.2,exclude
mathdial_standard,147,68,9,0,0.6336279461279462,0.6280892929897467,0.008741175593730888,diagnostic_specificity,without_glm-5.2,exclude
socratic,140,80,4,0,0.0053819444444444435,0.08185321909871311,-14.208856193825406,diagnostic_specificity,without_glm-5.2,exclude
longtutor,184,40,0,0,1.2550347222222222,1.071876445403061,0.14593881235003026,elicitation,without_glm-5.2,exclude
mathdial_hard,180,36,8,0,1.6130642361111112,1.3121988694880606,0.1865179078970829,elicitation,without_glm-5.2,exclude
mathdial_standard,147,68,9,0,1.4671717171717176,1.095447196389821,0.2533612912730311,elicitation,without_glm-5.2,exclude
socratic,140,80,4,0,0.01640625,0.3874154241031369,-22.61389251676263,elicitation,without_glm-5.2,exclude
longtutor,184,40,0,0,0.30225694444444445,0.30037718056916185,0.00621909243057317,epistemic_caution,without_glm-5.2,exclude
mathdial_hard,180,36,8,0,0.11187065972222222,0.11410018496355163,-0.019929490421039642,epistemic_caution,without_glm-5.2,exclude
mathdial_standard,147,68,9,0,0.15546085858585856,0.15283734583890315,0.016875712451481673,epistemic_caution,without_glm-5.2,exclude
socratic,140,80,4,0,0.0029513888888888884,0.009863090536501327,-2.341847146485156,epistemic_caution,without_glm-5.2,exclude
longtutor,184,40,0,0,0.6661458333333334,0.5295247589645158,0.20509183955287713,help_directness,without_glm-5.2,exclude
mathdial_hard,180,36,8,0,1.0663700810185186,0.8803809587001727,0.17441329762431323,help_directness,without_glm-5.2,exclude
mathdial_standard,147,68,9,0,1.026567760942761,0.7714995940331424,0.24846695621473025,help_directness,without_glm-5.2,exclude
socratic,140,80,4,0,0.06032986111111112,0.2798489637868199,-3.6386475724088703,help_directness,without_glm-5.2,exclude
longtutor,184,40,0,0,1.6104166666666668,1.5450996083177189,0.04055910479624192,personalization,without_glm-5.2,exclude
mathdial_hard,180,36,8,0,0.25535300925925924,0.2812487176831996,-0.10141140885341393,personalization,without_glm-5.2,exclude
mathdial_standard,147,68,9,0,0.15077861952861948,0.14191565371824125,0.058781316861015176,personalization,without_glm-5.2,exclude
socratic,140,80,4,0,0.02439236111111111,0.10069634372331031,-3.1281917426780597,personalization,without_glm-5.2,exclude
longtutor,199,40,0,0,0.701388888888889,0.5917246306358137,0.1563530018657706,affective_warmth,consensus,conservative_cohort
mathdial_hard,180,40,19,0,0.9278198653198654,0.7178624122067117,0.2262911810373569,affective_warmth,consensus,conservative_cohort
mathdial_standard,147,79,13,0,0.8576436001809136,0.6446406370058599,0.24835836602770922,affective_warmth,consensus,conservative_cohort
socratic,155,80,4,0,0.0,0.2435963343196224,,affective_warmth,consensus,conservative_cohort
longtutor,199,40,0,0,0.7027777777777777,0.6278544325845709,0.1066102935555513,autonomy_support,consensus,conservative_cohort
mathdial_hard,180,40,19,0,1.0690235690235688,0.9016325119835428,0.15658313052248107,autonomy_support,consensus,conservative_cohort
mathdial_standard,147,79,13,0,0.9707146087743104,0.7237476475517894,0.25441768259195985,autonomy_support,consensus,conservative_cohort
socratic,155,80,4,0,0.08194444444444444,0.257130377812926,-2.1378622377170635,autonomy_support,consensus,conservative_cohort
longtutor,199,40,0,0,0.46736111111111106,0.3762784041554337,0.1948872184489977,cognitive_load,consensus,conservative_cohort
mathdial_hard,180,40,19,0,0.44654882154882153,0.4190297756693421,0.06162606315706243,cognitive_load,consensus,conservative_cohort
mathdial_standard,147,79,13,0,0.45228403437358655,0.390080367952976,0.13753230645596992,cognitive_load,consensus,conservative_cohort
socratic,155,80,4,0,0.296875,0.2818938451383173,0.05046283742882596,cognitive_load,consensus,conservative_cohort
longtutor,199,40,0,0,1.042361111111111,1.0181888996753488,0.023189863069618788,diagnostic_specificity,consensus,conservative_cohort
mathdial_hard,180,40,19,0,1.1837822671156004,1.1505921697472046,0.028037332785248337,diagnostic_specificity,consensus,conservative_cohort
mathdial_standard,147,79,13,0,0.6605419870345244,0.6796859394177277,-0.028982188504245165,diagnostic_specificity,consensus,conservative_cohort
socratic,155,80,4,0,0.0,0.07478581572693767,,diagnostic_specificity,consensus,conservative_cohort
longtutor,199,40,0,0,1.1965277777777779,1.0224483615079412,0.1454871499875594,elicitation,consensus,conservative_cohort
mathdial_hard,180,40,19,0,1.68841189674523,1.375903001950512,0.18509043640189027,elicitation,consensus,conservative_cohort
mathdial_standard,147,79,13,0,1.4999057741595057,1.1416381340585633,0.23886009792962026,elicitation,consensus,conservative_cohort
socratic,155,80,4,0,0.005555555555555555,0.3950676980573497,-70.11218565032296,elicitation,consensus,conservative_cohort
longtutor,199,40,0,0,0.28680555555555554,0.28470522085616257,0.007323200888924686,epistemic_caution,consensus,conservative_cohort
mathdial_hard,180,40,19,0,0.13994107744107742,0.14243391136150713,-0.017813453819371272,epistemic_caution,consensus,conservative_cohort
mathdial_standard,147,79,13,0,0.20083295642997137,0.1994536065389266,0.0068681451269962945,epistemic_caution,consensus,conservative_cohort
socratic,155,80,4,0,0.0017361111111111108,0.008283473173713352,-3.7712805480588916,epistemic_caution,consensus,conservative_cohort
longtutor,199,40,0,0,0.5993055555555555,0.47671016757589724,0.20456240867984699,help_directness,consensus,conservative_cohort
mathdial_hard,180,40,19,0,0.99263468013468,0.811739513895118,0.1822374030041125,help_directness,consensus,conservative_cohort
mathdial_standard,147,79,13,0,1.0639981908638627,0.8221824310653619,0.22727083737066323,help_directness,consensus,conservative_cohort
socratic,155,80,4,0,0.10520833333333332,0.3020941239878231,-1.871389693349606,help_directness,consensus,conservative_cohort
longtutor,199,40,0,0,1.4923611111111112,1.4538945278438389,0.02577565374819557,personalization,consensus,conservative_cohort
mathdial_hard,180,40,19,0,0.1517255892255892,0.1917115541799954,-0.26354133906149557,personalization,consensus,conservative_cohort
mathdial_standard,147,79,13,0,0.12094828885873661,0.13863698369473076,-0.14625006275743124,personalization,consensus,conservative_cohort
socratic,155,80,4,0,0.03680555555555556,0.09338689532104902,-1.5373043257039734,personalization,consensus,conservative_cohort
longtutor,199,40,0,0,0.7470486111111111,0.6228947068123778,0.166192537476343,affective_warmth,without_MiniMax-M3,conservative_cohort
mathdial_hard,180,40,19,0,0.9830246913580247,0.7461687565258689,0.24094606871465774,affective_warmth,without_MiniMax-M3,conservative_cohort
mathdial_standard,147,79,13,0,0.9885515603799186,0.7224072379568965,0.2692265462822576,affective_warmth,without_MiniMax-M3,conservative_cohort
socratic,155,80,4,0,0.0,0.2873874154221775,,affective_warmth,without_MiniMax-M3,conservative_cohort
longtutor,199,40,0,0,0.6598958333333333,0.5623867885414969,0.1477642983427987,autonomy_support,without_MiniMax-M3,conservative_cohort
mathdial_hard,180,40,19,0,0.986409231200898,0.821587963922249,0.1670921784440199,autonomy_support,without_MiniMax-M3,conservative_cohort
mathdial_standard,147,79,13,0,0.889864126338007,0.680539831486138,0.2352317490461,autonomy_support,without_MiniMax-M3,conservative_cohort
socratic,155,80,4,0,0.02317708333333333,0.2057413570443139,-7.876930461237814,autonomy_support,without_MiniMax-M3,conservative_cohort
longtutor,199,40,0,0,0.5026041666666666,0.402115751648331,0.19993549931109267,cognitive_load,without_MiniMax-M3,conservative_cohort
mathdial_hard,180,40,19,0,0.4467066498316498,0.4112697653504462,0.07932920742182537,cognitive_load,without_MiniMax-M3,conservative_cohort
mathdial_standard,147,79,13,0,0.42977819237147596,0.3627217997179727,0.15602558213457118,cognitive_load,without_MiniMax-M3,conservative_cohort
socratic,155,80,4,0,0.2536458333333333,0.24568526038893568,0.031384599698651816,cognitive_load,without_MiniMax-M3,conservative_cohort
longtutor,199,40,0,0,1.1609375,1.1096972755491563,0.04413693626990567,diagnostic_specificity,without_MiniMax-M3,conservative_cohort
mathdial_hard,180,40,19,0,1.1687008978675646,1.1173263833980975,0.04395865063782023,diagnostic_specificity,without_MiniMax-M3,conservative_cohort
mathdial_standard,147,79,13,0,0.6320151138248152,0.6377047407720738,-0.009002358998705384,diagnostic_specificity,without_MiniMax-M3,conservative_cohort
socratic,155,80,4,0,0.0021701388888888886,0.08521955269538542,-38.26916988203361,diagnostic_specificity,without_MiniMax-M3,conservative_cohort
longtutor,199,40,0,0,1.1395833333333334,0.9694762437376158,0.14927130348435913,elicitation,without_MiniMax-M3,conservative_cohort
mathdial_hard,180,40,19,0,1.570584315375982,1.2864833571537793,0.18088870202055463,elicitation,without_MiniMax-M3,conservative_cohort
mathdial_standard,147,79,13,0,1.4383150535202773,1.094775436507235,0.23884865570462377,elicitation,without_MiniMax-M3,conservative_cohort
socratic,155,80,4,0,0.003993055555555555,0.36505990631363017,-90.42369827680479,elicitation,without_MiniMax-M3,conservative_cohort
longtutor,199,40,0,0,0.3486111111111111,0.3397818574746393,0.025326942702229904,epistemic_caution,without_MiniMax-M3,conservative_cohort
mathdial_hard,180,40,19,0,0.1531811167227834,0.15306816138304938,0.0007373972859751055,epistemic_caution,without_MiniMax-M3,conservative_cohort
mathdial_standard,147,79,13,0,0.20920021106588269,0.20231650359154507,0.03290487824684729,epistemic_caution,without_MiniMax-M3,conservative_cohort
socratic,155,80,4,0,0.0008680555555555554,0.013165386724688328,-14.166525506840957,epistemic_caution,without_MiniMax-M3,conservative_cohort
longtutor,199,40,0,0,0.6512152777777777,0.49520461325723997,0.2395684957713402,help_directness,without_MiniMax-M3,conservative_cohort
mathdial_hard,180,40,19,0,1.0544156846240178,0.8703053246965491,0.17460889724256956,help_directness,without_MiniMax-M3,conservative_cohort
mathdial_standard,147,79,13,0,1.079333446404342,0.8348717234349192,0.22649323411946054,help_directness,without_MiniMax-M3,conservative_cohort
socratic,155,80,4,0,0.06050347222222223,0.262199925581993,-3.3336343510825817,help_directness,without_MiniMax-M3,conservative_cohort
longtutor,199,40,0,0,1.5901041666666667,1.5267217256084127,0.03986055906709718,personalization,without_MiniMax-M3,conservative_cohort
mathdial_hard,180,40,19,0,0.19442690796857462,0.21798951909475728,-0.12119007277527194,personalization,without_MiniMax-M3,conservative_cohort
mathdial_standard,147,79,13,0,0.0943954470073873,0.11033482590856779,-0.16885749690801388,personalization,without_MiniMax-M3,conservative_cohort
socratic,155,80,4,0,0.011805555555555554,0.08115676133277255,-5.874455077599559,personalization,without_MiniMax-M3,conservative_cohort
longtutor,199,40,0,0,0.5647569444444445,0.4656210422456695,0.17553728763139986,affective_warmth,without_deepseek-v4-pro,conservative_cohort
mathdial_hard,180,40,19,0,0.767922278338945,0.5949417234024995,0.22525789369024585,affective_warmth,without_deepseek-v4-pro,conservative_cohort
mathdial_standard,147,79,13,0,0.6865200512588571,0.49112592959748086,0.28461531648359895,affective_warmth,without_deepseek-v4-pro,conservative_cohort
socratic,155,80,4,0,0.0,0.21585870620127223,,affective_warmth,without_deepseek-v4-pro,conservative_cohort
longtutor,199,40,0,0,0.5887152777777777,0.5038338047897368,0.1441808565057845,autonomy_support,without_deepseek-v4-pro,conservative_cohort
mathdial_hard,180,40,19,0,0.9626999158249159,0.7993571968462544,0.16967147944403504,autonomy_support,without_deepseek-v4-pro,conservative_cohort
mathdial_standard,147,79,13,0,0.8600463591135235,0.6308395365964613,0.2665051948517203,autonomy_support,without_deepseek-v4-pro,conservative_cohort
socratic,155,80,4,0,0.08029513888888888,0.23075043908932535,-1.873778441415166,autonomy_support,without_deepseek-v4-pro,conservative_cohort
longtutor,199,40,0,0,0.36475694444444445,0.29029592544878613,0.2041387288981399,cognitive_load,without_deepseek-v4-pro,conservative_cohort
mathdial_hard,180,40,19,0,0.35770903479236815,0.3342101777241247,0.06569265739089691,cognitive_load,without_deepseek-v4-pro,conservative_cohort
mathdial_standard,147,79,13,0,0.3414744459520579,0.2962014197709527,0.13258100779658744,cognitive_load,without_deepseek-v4-pro,conservative_cohort
socratic,155,80,4,0,0.30789930555555556,0.28045793973252275,0.08912448104915083,cognitive_load,without_deepseek-v4-pro,conservative_cohort
longtutor,199,40,0,0,0.7387152777777778,0.7176878493238308,0.02846486201991416,diagnostic_specificity,without_deepseek-v4-pro,conservative_cohort
mathdial_hard,180,40,19,0,0.8481867283950617,0.823707178977,0.02886103802211326,diagnostic_specificity,without_deepseek-v4-pro,conservative_cohort
mathdial_standard,147,79,13,0,0.5200842379014021,0.5293149846402951,-0.017748560841105432,diagnostic_specificity,without_deepseek-v4-pro,conservative_cohort
socratic,155,80,4,0,0.007552083333333332,0.064381799177777,-7.525038235953923,diagnostic_specificity,without_deepseek-v4-pro,conservative_cohort
longtutor,199,40,0,0,0.9074652777777779,0.8141100078529153,0.10287475698626525,elicitation,without_deepseek-v4-pro,conservative_cohort
mathdial_hard,180,40,19,0,1.5648849607182942,1.299512499193843,0.16957953343908638,elicitation,without_deepseek-v4-pro,conservative_cohort
mathdial_standard,147,79,13,0,1.3993338233077042,1.0707711202121781,0.23479937211756885,elicitation,without_deepseek-v4-pro,conservative_cohort
socratic,155,80,4,0,0.022135416666666668,0.334119387942306,-14.094334702334764,elicitation,without_deepseek-v4-pro,conservative_cohort
longtutor,199,40,0,0,0.17621527777777776,0.17652229937292824,-0.0017423097419375644,epistemic_caution,without_deepseek-v4-pro,conservative_cohort
mathdial_hard,180,40,19,0,0.10662177328843996,0.10853390869785452,-0.017933817366193372,epistemic_caution,without_deepseek-v4-pro,conservative_cohort
mathdial_standard,147,79,13,0,0.15554330619629128,0.15492912319500846,0.003948630232327388,epistemic_caution,without_deepseek-v4-pro,conservative_cohort
socratic,155,80,4,0,0.005555555555555555,0.01150338687468418,-1.0706096374431526,epistemic_caution,without_deepseek-v4-pro,conservative_cohort
longtutor,199,40,0,0,0.5638888888888889,0.43275761485800557,0.232548072172995,help_directness,without_deepseek-v4-pro,conservative_cohort
mathdial_hard,180,40,19,0,0.9155092592592592,0.7500330450487761,0.18074772323370092,help_directness,without_deepseek-v4-pro,conservative_cohort
mathdial_standard,147,79,13,0,0.9190505804311774,0.700456770487989,0.23784742058552855,help_directness,without_deepseek-v4-pro,conservative_cohort
socratic,155,80,4,0,0.07760416666666665,0.24437641936531698,-2.149011578398716,help_directness,without_deepseek-v4-pro,conservative_cohort
longtutor,199,40,0,0,1.1772569444444445,1.145022863594491,0.027380667408307358,personalization,without_deepseek-v4-pro,conservative_cohort
mathdial_hard,180,40,19,0,0.12664842873176205,0.1622513800983317,-0.2811164080209454,personalization,without_deepseek-v4-pro,conservative_cohort
